District,Representative,Party,Prior experience,Education,Assumed Office,Born In,
Alabama 1,Bradley Byrne,,Republican,"Alabama Senate, Alabama State Board of Education",Duke University,,
University of Alabama,2013*,1955,,,,,
Alabama 2,Martha Roby,,Republican,Montgomery City Council,New York University,,
Cumberland School of Law,2011,1976,,,,,
Alabama 3,Mike Rogers,,Republican,"Calhoun County Commissioner, Alabama House of Representatives",Jacksonville State University,,
Birmingham School of Law,2003,1958,,,,,
Alabama 4,Robert Aderholt,,Republican,Haleyville Municipal Judge,Birmingham–Southern College,,
Samford University,1997,1965,,,,,
Alabama 5,Mo Brooks",,Republican,"Alabama House of Representatives, Madison County Commissioner",Duke University,,
University of Alabama,2011,1954,,,,,
Alabama 6,Gary Palmer,,Republican,Policy analyst,University of Alabama,2015,1954
Alabama 7,Terri Sewell",,Democratic,Attorney,Princeton University,,
Harvard Law School,,,,,,,
University of Oxford,2011,1965,,,,,
Alaska At Large,Don Young",,Republican,"Alaska Senate, Ship captain, Mayor of Fort Yukon, Alaska","California State University, Chico",1973*,1933
Arizona 1, Ann Kirkpatrick,,Democratic,"Arizona House of Representatives, U.S. House",University of Arizona,,
University of Arizona College of Law,2013,1950,,,,,
Arizona 2,Martha McSally,,Republican,USAF Colonel,United States Air Force Academy,2015,1966
Arizona 3,Raúl Grijalva,,Democratic,Pima County Board of Supervisors,University of Arizona,2003,1948
Arizona 4,Paul Gosar,,Republican,President of the Northern Arizona Dental Society,Creighton University,,
Creighton University School of Dentistry,2011,1958,,,,,
Arizona 5,"Matt Salmon, official portrait, 113th Congress.jpg Matt Salmon",,Republican,"Arizona Senate, U.S. House",Arizona State University,,
Brigham Young University,2013,1958,,,,,
Arizona 6,"David Schweikert, Official Portrait, 112th Congress 2.jpg David Schweikert",,Republican,"Arizona House of Representatives, Arizona Board of Education, Arizona Board of Equalization, Maricopa County Treasurer",Arizona State University,2011,1962
Arizona 7,Ruben Gallego.jpg Ruben Gallego,,Democratic,Arizona House of Representatives,Harvard University,2015,1979
Arizona 8,"Trent Franks, official portrait, 114th Congress.jpg Trent Franks",,Republican,Arizona House of Representatives,Ottawa University,2003,1957
Arizona 9,Kyrsten Sinema 113th Congress.jpg Kyrsten Sinema,,Democratic,"Arizona Senate, Arizona House of Representatives",Brigham Young University,,
Arizona State University,2013,1976,,,,,
Arkansas 1,"Rick Crawford, Official Portrait, 112th Congress.jpg Rick Crawford",,Republican,"Broadcaster, Businessman",Arkansas State University,2011,1966
Arkansas 2,French Hill official photo.jpg French Hill,,Republican,Businessman,Vanderbilt University,,
UCLA Anderson School of Management,2015,1956,,,,,
Arkansas 3,"Steve Womack, Official Portrait, 112th Congress - Hi Res.jpg Steve Womack",,Republican,"Mayor of Rogers, Arkansas",Arkansas Tech University,2011,1957
Arkansas 4,Bruce Westerman official congressional photo.jpg Bruce Westerman,,Republican,Arkansas House of Representatives,University of Arkansas,,
Yale University,2015,1956,,,,,
California 1,Doug LaMalfa 113th Congress official photo.jpg Doug LaMalfa,,Republican,"California State Senate, California State Assembly",California Polytechnic State University,2013,1960
California 2,"Jared Huffman, Official portrait, 113th Congress.jpg Jared Huffman",,Democratic,California State Assembly,"University of California, Santa Barbara",,
Boston College Law School,2013,1964,,,,,
California 3,John Garamendi 113th Congress.jpg John Garamendi,,Democratic,"Lieutenant Governor of California, United States Deputy Secretary of the Interior, California Insurance Commissioner, California State Senate, California State Assembly","University of California, Berkeley",,
Harvard Business School,2009*,1945,,,,,
California 4,"Tom McClintock, Official Portrait.JPG Tom McClintock",,Republican,"California Senate, California State Assembly","University of California, Los Angeles",2009,1956
California 5,Mike Thompson.jpg Mike Thompson,,Democratic,California State Senate,"California State University, Chico",1999,1951
California 6,Doris Matsui Official Photo.JPG Doris Matsui,,Democratic,"Sacramento, California City Council","University of California, Berkeley",2005*,1944
California 7,Ami Bera official photo.jpg Ami Bera,,Democratic,"Chief Medical Officer of Sacramento County, California","University of California, Irvine",2013,1965
California 8,"Paul Cook, official portrait, 113th Congress.jpg Paul Cook",,Republican,California State Assembly,Southern Connecticut State University,,
"California State University, San Bernardino",,,,,,,
"University of California, Riverside",2013,1943,,,,,
California 9,Mcnerney113.jpg Jerry McNerney,,Democratic,Engineering executive,University of New Mexico,2007,1951
California 10,Jeff Denham Official Portrait.jpg Jeff Denham,,Republican,California State Senate,California Polytechnic State University,2011,1967
California 11,Mark DeSaulnier-1.jpeg Mark DeSaulnier,,Democratic,"California State Senate, California State Assembly, Contra Costa County Board of Supervisors",College of the Holy Cross,2015,1952
California 12,Speaker Nancy Pelosi.jpg Nancy Pelosi,,Democratic,Current House Minority Leader,,,
Northern California Democratic Party Chairwoman,Trinity Washington University,1987*,1940,,,,
California 13,Barbaralee newheadshot 1200.jpg Barbara Lee,,Democratic,California State Assembly,Mills College,,
"University of California, Berkeley",1998*,1946,,,,,
California 14,"Jackie Speier, official photo portrait, 111th Congress.jpg Jackie Speier",,Democratic,"California State Senate, California State Assembly, San Mateo County Board of Supervisors","University of California, Davis",,
"UC, Hastings Law",2008*,1950,,,,,
California 15,"Eric Swalwell, official portrait, 114th Congress.jpg Eric Swalwell",,Democratic,Dublin City Council,"University of Maryland, College Park",,
University of Maryland School of Law,2013,1980,,,,,
California 16,Jimcosta.jpeg Jim Costa,,Democratic,"California State Senate, California State Assembly","California State University, Fresno",2005,1952
California 17,Mike honda.jpg Mike Honda,,Democratic,"California State Assembly, Santa Clara County Board of Supervisors",San Jose State University,2001,1941
California 18,Rep Anna Eshoo.jpg Anna Eshoo,,Democratic,San Mateo County Board of Supervisors,Cañada College,,
Menlo College,1993,1942,,,,,
California 19,"Zoe Lofgren, Official Portrait, 112th Congress.jpg Zoe Lofgren",,Democratic,Santa Clara County Board of Supervisors,Stanford University,,
Santa Clara University,1995,1947,,,,,
California 20,Farr-Portrait-2013.jpg Sam Farr,,Democratic,"California State Assembly, Monterey County Board of Supervisors",Willamette University,,
Santa Clara University,,,,,,,
Monterey Institute of International Studies,1993*,1941,,,,,
California 21,"David Valadao, official portrait, 113th Congress.jpg David Valadao",,Republican,California State Assembly,College of the Sequoias,2013,1977
California 22,"Devin Nunes, official color photo portrait.jpg Devin Nunes",,Republican,California State Director for the United States Department of Agriculture's Rural Development Section,College of the Sequoias,,
"Cal Poly University, San Luis Obispo",2003,1973,,,,,
California 23,Kevin McCarthy2.jpg Kevin McCarthy,,Republican,Current House Majority Leader,,,
California State Assembly,"California State University, Bakersfield",2007,1965,,,,
California 24,Lois Capps.jpg Lois Capps,,Democratic,"Nurse, Teacher",Pacific Lutheran University,,
Yale University,,,,,,,
"University of California, Santa Barbara",1998*,1938,,,,,
