Country,Total,PC,Continent
Afghanistan,21268.6,0.693183411,Asia
Albania,4814.771,1.662184826,Europe
Algeria,134215.867,3.51478009,Africa
Andorra,491.378,6.473847856,Europe
Angola,32463.951,1.384496389,Africa
Antigua and Barbuda,524.381,5.827426793,North America
Argentina,189818.588,4.46229798,South America
Armenia,5496.833,1.837058919,Europe
Aruba,876.413,8.515395303,South America
Australia,377906.352,16.34730205,Oceania
Austria,62408.673,7.360055782,Europe
Azerbaijan,35643.24,3.785068836,Europe
"Bahamas, The",3109.616,8.229959163,North America
Bahrain,31957.905,23.68257416,Asia
Bangladesh,68950.601,0.438735966,Asia
Barbados,1448.465,5.127255286,North America
Belarus,63769.13,6.736650116,Europe
Belgium,93618.51,8.371639275,Europe
Belize,517.047,1.5022008,North America
Benin,5797.527,0.561654398,Africa
Bermuda,363.033,5.585037153,North America
Bhutan,883.747,1.171088881,Asia
Bolivia,19702.791,1.894511704,South America
Bosnia and Herzegovina,21906.658,5.729428254,Europe
Botswana,5423.493,2.49183004,Africa
Brazil,503677.118,2.465870235,South America
British Virgin Islands,176.016,6.057402437,North America
Brunei Darussalam,7785.041,18.91873613,Asia
Bulgaria,39563.263,5.445648555,Europe
Burkina Faso,3058.278,0.17900836,Africa
Burundi,293.36,0.028029921,Africa
Cape Verde,443.707,0.874716614,Africa
Cambodia,5573.84,0.369653238,Asia
Cameroon,6813.286,0.306750488,Africa
Canada,475734.578,13.53229485,North America
Cayman Islands,539.049,9.235193339,North America
Central African Republic,297.027,0.063053981,Africa
Chad,608.722,0.046305478,Africa
Chile,83171.227,4.732135712,South America
China,10249463.02,7.550916485,Asia
Colombia,89625.147,1.893127874,South America
Comoros,161.348,0.214644997,Africa
"Congo, Dem. Rep.",2779.586,0.038311184,Africa
"Congo, Rep.",2482.559,0.56494545,Africa
Costa Rica,7616.359,1.618286928,North America
Cote d'Ivoire,8987.817,0.415669842,Africa
Croatia,17711.61,4.161866621,Europe
Cuba,39339.576,3.462227387,North America
Curacao,5254.811,34.16163488,South America
Cyprus,5947.874,5.209883572,Europe
Czech Republic,98660.635,9.383496546,Europe
Denmark,38067.127,6.779623867,Europe
Djibouti,608.722,0.704087888,Africa
Dominica,132.012,1.833372682,North America
Dominican Republic,22071.673,2.146755872,North America
Ecuador,43527.29,2.779287585,South America
"Egypt, Arab Rep.",213012.363,2.431261947,Africa
El Salvador,6358.578,1.044162516,North America
Equatorial Guinea,5412.492,6.790382922,Africa
Estonia,19915.477,15.11041148,Europe
Ethiopia,10634.3,0.112462805,Africa
Faroe Islands,594.054,12.30129214,Europe
Fiji,1708.822,1.940769143,Oceania
Finland,46299.542,8.512553843,Europe
France,333190.954,5.050482994,Europe
French Polynesia,821.408,2.967879002,Oceania
Gabon,4756.099,2.88187119,Africa
"Gambia, The",491.378,0.263208415,Africa
Georgia,7510.016,1.988881356,Europe
Germany,757312.507,9.220590804,Europe
Ghana,14620.329,0.558786409,Africa
Gibraltar,491.378,15.49110971,Europe
Greece,69155.953,6.306851095,Europe
Greenland,568.385,10.06293929,North America
Grenada,304.361,2.873987271,North America
Guatemala,13597.236,0.866574175,North America
Guinea,2299.209,0.192422941,Africa
Guinea-Bissau,256.69,0.146084144,Africa
Guyana,1936.176,2.544141975,South America
Haiti,2405.552,0.23061016,North America
Honduras,9064.824,1.15489309,North America
"Hong Kong SAR, China",44994.09,6.260047304,Asia
Hungary,41440.767,4.188863187,Europe
Iceland,1969.179,6.082143166,Europe
India,2034752.294,1.590272829,Asia
Indonesia,479364.908,1.907781259,Asia
"Iran, Islamic Rep.",616976.417,7.996848538,Asia
Iraq,167812.921,4.920137222,Asia
Ireland,34964.845,7.603873306,Europe
Israel,71073.794,8.818635647,Asia
Italy,344767.673,5.723809985,Europe
Jamaica,7726.369,2.846155093,North America
Japan,1243384.358,9.764393145,Asia
Jordan,24807.255,3.438369043,Asia
Kazakhstan,262901.898,15.43279448,Asia
Kenya,13300.209,0.304402198,Africa
Kiribati,62.339,0.574320091,Oceania
"Korea, Rep.",592499.192,11.79815008,Asia
Kuwait,97960.238,27.2589637,Asia
Kyrgyz Republic,9842.228,1.720789566,Asia
Lao PDR,2174.531,0.330476589,Asia
Latvia,7080.977,3.518240904,Europe
Lebanon,22581.386,4.271123267,Asia
Lesotho,2295.542,1.102004214,Africa
Liberia,957.087,0.222905369,Africa
Libya,51040.973,8.145719581,Africa
Liechtenstein,51.338,1.386015119,Europe
Lithuania,12640.149,4.273657237,Europe
Luxembourg,10161.257,18.70078217,Europe
"Macao SAR, China",2167.197,3.815111538,Asia
"Macedonia, FYR",8294.754,4.002210811,Europe
Madagascar,3076.613,0.134205996,Africa
Malawi,1272.449,0.078594138,Africa
Malaysia,236510.499,8.026727068,Asia
Maldives,1048.762,2.668605598,Asia
Mali,1026.76,0.061882473,Africa
Malta,2218.535,5.240130476,Europe
Marshall Islands,102.676,1.945136968,Oceania
Mauritania,2647.574,0.683653507,Africa
Mauritius,3725.672,2.960046971,Africa
Mexico,488602.081,3.948615246,North America
"Micronesia, Fed. Sts.",146.68,1.414219325,Oceania
Moldova,4976.119,1.398349504,Europe
Mongolia,41591.114,14.54654876,Asia
Montenegro,2247.871,3.61855388,Europe
Morocco,58558.323,1.750481949,Africa
Mozambique,4019.032,0.151849649,Africa
Myanmar,12603.479,0.237874069,Asia
Namibia,2948.268,1.256404181,Africa
Nauru,44.004,4.346074074,Oceania
Nepal,6501.591,0.233576269,Asia
Netherlands,169972.784,10.11475925,Europe
New Caledonia,3861.351,14.68194297,Oceania
New Zealand,33960.087,7.64505234,Oceania
Nicaragua,4569.082,0.768475284,North America
Niger,1961.845,0.106860921,Africa
Nigeria,95650.028,0.553477351,Africa
Norway,59636.421,11.74032423,Europe
Oman,61183.895,15.66042312,Asia
Pakistan,153368.608,0.846439474,Asia
Palau,223.687,10.69300636,Oceania
Panama,10362.942,2.723017655,North America
Papua New Guinea,6072.552,0.830847585,Oceania
Paraguay,4972.452,0.769054525,South America
Peru,57153.862,1.869883854,South America
Philippines,98238.93,1.006838603,Asia
Poland,302333.149,7.947728476,Europe
Portugal,46262.872,4.423980771,Europe
Qatar,85023.062,40.46235547,Asia
Romania,70736.43,3.539707601,Europe
Russian Federation,1789074.295,12.46681628,Asia
Rwanda,799.406,0.072160963,Africa
Samoa,238.355,1.251930248,Oceania
Sao Tome and Principe,113.677,0.623277006,Africa
Saudi Arabia,541428.883,17.92748481,Asia
Senegal,8423.099,0.592298342,Africa
Serbia,44869.412,6.263063271,Europe
Seychelles,645.392,7.178998888,Africa
Sierra Leone,1191.775,0.192879462,Africa
Singapore,50556.929,9.36384739,Asia
Slovak Republic,33677.728,6.221186601,Europe
Slovenia,14440.646,7.010182271,Europe
Solomon Islands,198.018,0.353171567,Oceania
Somalia,623.39,0.060710992,Africa
South Africa,471238.836,8.859169093,Africa
South Sudan,1448.465,0.126461413,Africa
Spain,236968.874,5.082982524,Europe
Sri Lanka,16024.79,0.778696244,Asia
St. Kitts and Nevis,278.692,5.132354837,North America
St. Lucia,407.037,2.232725378,North America
St. Vincent and the Grenadines,209.019,1.911869895,North America
Sudan,15445.404,0.309100309,Africa
Suriname,2101.191,3.938871497,South America
Swaziland,1089.099,0.870832637,Africa
Sweden,44326.696,4.617181884,Europe
Switzerland,40348.001,4.987795181,Europe
Syrian Arab Republic,36064.945,1.866465075,Asia
Tajikistan,3586.326,0.442107108,Asia
Tanzania,10751.644,0.214118777,Africa
Thailand,303117.887,4.493869484,Asia
Timor-Leste,440.04,0.372893449,Asia
Togo,2229.536,0.321781847,Africa
Tonga,209.019,1.988025376,Oceania
Trinidad and Tobago,46541.564,34.52023675,North America
Tunisia,27667.515,2.541451798,Africa
Turkey,323451.402,4.243452638,Asia
Turkmenistan,66893.414,12.76570432,Asia
Turks and Caicos Islands,198.018,5.981874755,Europe
Uganda,4895.445,0.133852656,Africa
Ukraine,271101.31,5.959632751,Europe
United Arab Emirates,169122.04,18.70823579,Asia
United Kingdom,457472.918,7.133721709,Europe
United States,5186168.427,16.38975799,North America
Uruguay,7605.358,2.231639431,South America
Uzbekistan,103226.05,3.413198669,Asia
Vanuatu,106.343,0.420054115,Oceania
"Venezuela, RB",185531.865,6.128008629,South America
Vietnam,152624.207,1.700368284,Asia
West Bank and Gaza,2438.555,0.584854657,Asia
"Yemen, Rep.",25346.304,0.992679614,Asia
Zambia,3824.681,0.25086314,Africa
Zimbabwe,13780.586,0.924989992,Africa
