Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,YearNextElection,BelieveClimateChange,Quote,QuoteSource,QuoteURL
Adam B. Schiff,22-Jun-60,15-Dec-16,56,M,2411 Rayburn HOB; Washington DC 20515-0528,https://schiff.house.gov/contact,http://schiff.house.gov,202-225-4176,Democratic,3-Jan-01,3-Jan-17,15,40,CA,California,29,2411 Rayburn House Office Building,rep,2018,Yes,,,
Adam Kinzinger,27-Feb-78,15-Dec-16,38,M,1221 Longworth HOB; Washington DC 20515-1316,https://kinzinger.house.gov/email-adam,http://kinzinger.house.gov,202-225-3635,Republican,5-Jan-11,3-Jan-17,5,32,IL,Illinois,17,1221 Longworth House Office Building,rep,2018,Yes,,,
Adam Smith,15-Jun-65,15-Dec-16,51,M,2264 Rayburn HOB; Washington DC 20515-4709,https://adamsmith.house.gov/contact/contactform.htm,https://adamsmith.house.gov,202-225-8901,Democratic,7-Jan-97,3-Jan-17,19,31,WA,Washington,10,2264 Rayburn House Office Building,rep,2018,Yes,,,
Adrian Smith,19-Dec-70,15-Dec-16,45,M,2241 Rayburn HOB; Washington DC 20515-2703,https://adriansmith.house.gov/contact-me/email-me,http://adriansmith.house.gov,202-225-6435,Republican,4-Jan-07,3-Jan-17,9,36,NE,Nebraska,4,2241 Rayburn House Office Building,rep,2018,No,"In an interview with Nebraska Citizen, Rep. Smith was asked if he believes in global warming, to which he responded No! The reporter said that Rep. Smith believes many of the facts about global warming are in dispute.","Nebraska Citizen, 11/22/05",https://web.archive.org/web/20080303130802/http://www.necitizen.com/weblog/2005/11/interview_with_adrian_smith.html
Al Franken,21-May-51,15-Dec-16,65,M,309 Hart Senate Office Building Washington DC 20510,http://www.franken.senate.gov/?p=email_al,https://www.franken.senate.gov,202-224-5641,Democratic,7-Jul-09,3-Jan-21,7,58,MN,Minnesota,,309 Hart Senate Office Building,sen,2020,Yes,,,
Al Green,1-Sep-47,15-Dec-16,69,M,2347 Rayburn HOB; Washington DC 20515-4309,https://algreen.house.gov/contact-me/email-me,http://algreen.house.gov,202-225-7508,Democratic,4-Jan-05,3-Jan-17,11,57,TX,Texas,10,2347 Rayburn House Office Building,rep,2018,Yes,,,
Alan Grayson,13-Mar-58,15-Dec-16,58,M,303 Cannon HOB; Washington DC 20515-0909,https://grayson.house.gov/contact/email-me,http://grayson.house.gov,202-225-9889,Democratic,6-Jan-09,3-Jan-17,7,50,FL,Florida,10,303 Cannon House Office Building,rep,2018,Yes,,,
Alan S. Lowenthal,8-Mar-41,15-Dec-16,75,M,108 Cannon HOB; Washington DC 20515-0547,http://lowenthal.house.gov/contact/howtocontactme.htm,http://lowenthal.house.gov,202-225-7924,Democratic,3-Jan-13,3-Jan-17,3,71,CA,California,48,108 Cannon House Office Building,rep,2018,Yes,,,
Albio Sires,26-Jan-51,15-Dec-16,65,M,2342 Rayburn HOB; Washington DC 20515-3008,https://sires.house.gov/contact-me/email-me,http://sires.house.gov,202-225-7919,Democratic,13-Nov-06,3-Jan-17,10,55,NJ,New Jersey,9,2342 Rayburn House Office Building,rep,2018,Yes,,,
Alcee L. Hastings,5-Sep-36,15-Dec-16,80,M,2353 Rayburn HOB; Washington DC 20515-0920,https://alceehastings.house.gov/forms/writeyourrep/?zip5=33407&zip4=3224,http://alceehastings.house.gov,202-225-1313,Democratic,5-Jan-93,3-Jan-17,23,56,FL,Florida,21,2353 Rayburn House Office Building,rep,2018,Yes,,,
Alexander X. Mooney,5-Jun-71,15-Dec-16,45,M,1232 Longworth HOB; Washington DC 20515-4802,,https://mooney.house.gov,202-225-2711,Republican,6-Jan-15,3-Jan-17,1,43,WV,West Virginia,3,1232 Longworth House Office Building,rep,2018,No,"Although Mooney said that climate change is –not a settled issue,” he did concede he –understands we have to be good stewards of our environment.”","The State Journal, 8/31/14",https://www.barackobama.com/climate-change-deniers/alex-mooney-west-virginia/
Alma S. Adams,27-May-46,15-Dec-16,70,F,222 Cannon HOB; Washington DC 20515-3312,http://adams.house.gov/contact,http://adams.house.gov,202-225-1510,Democratic,12-Nov-14,3-Jan-17,2,68,NC,North Carolina,13,222 Cannon House Office Building,rep,2018,Yes,,,
Ami Bera,2-Mar-65,15-Dec-16,51,M,1535 Longworth HOB; Washington DC 20515-0507,https://beraforms.house.gov/forms/writeyourrep/,http://bera.house.gov,202-225-5716,Democratic,3-Jan-13,3-Jan-17,3,47,CA,California,8,1535 Longworth House Office Building,rep,2018,Yes,,,
Amy Klobuchar,25-May-60,15-Dec-16,56,F,302 Hart Senate Office Building Washington DC 20510,http://www.klobuchar.senate.gov/public/email-amy,http://www.klobuchar.senate.gov,202-224-3244,Democratic,4-Jan-07,3-Jan-19,9,46,MN,Minnesota,,302 Hart Senate Office Building,sen,2018,Yes,,,
Ander Crenshaw,1-Sep-44,15-Dec-16,72,M,2161 Rayburn HOB; Washington DC 20515-0904,https://forms.house.gov/write/crenshaw/email-me.shtml,https://crenshaw.house.gov,202-225-2501,Republican,3-Jan-01,3-Jan-17,15,56,FL,Florida,5,2161 Rayburn House Office Building,rep,2018,No,,,
Andre Carson,16-Oct-74,15-Dec-16,42,M,2453 Rayburn HOB; Washington DC 20515-1407,https://carson.house.gov/contact/email-me,http://carson.house.gov,202-225-4011,Democratic,13-Mar-08,3-Jan-17,8,33,IN,Indiana,8,2453 Rayburn House Office Building,rep,2018,Yes,,,
Andy Barr,24-Jul-73,15-Dec-16,43,M,1432 Longworth HOB; Washington DC 20515-1706,https://barr.house.gov/contact/email-me,https://barr.house.gov,202-225-4706,Republican,3-Jan-13,3-Jan-17,3,39,KY,Kentucky,7,1432 Longworth House Office Building,rep,2018,No,,,
Andy Harris,25-Jan-57,15-Dec-16,59,M,1533 Longworth HOB; Washington DC 20515-2001,https://harris.house.gov/contact-me/email-me,http://harris.house.gov,202-225-5311,Republican,5-Jan-11,3-Jan-17,5,53,MD,Maryland,2,1533 Longworth House Office Building,rep,2018,No,"–I believe the actual science is uncertain Ä We have to understand why it hasnêt; before we spend literally, worldwide, trillions of dollars on this, we should understand exactly whatês happening, and even more importantly, whether Ä by spending that money, we have a change of affecting it in any significant way. Because I donêt believe we are going to convince the rest of the countries of the world not to use more energy.ê”","Star Democrat, 8/23/14",http://www.stardem.com/news/local_news/article_3e9d58c7-afd2-509d-afe2-7e1850bed9b5.html
"Angus S. King, Jr.",31-Mar-44,15-Dec-16,72,M,133 Hart Senate Office Building Washington DC 20510,http://www.king.senate.gov/contact,http://www.king.senate.gov,202-224-5344,Independent,3-Jan-13,3-Jan-19,3,68,ME,Maine,,133 Hart Senate Office Building,sen,2018,Yes,,,
Ann Kirkpatrick,24-Mar-50,15-Dec-16,66,F,201 Cannon HOB; Washington DC 20515-0301,https://kirkpatrick.house.gov/contact/email-me,http://kirkpatrick.house.gov,202-225-3361,Democratic,6-Jan-09,3-Jan-17,7,58,AZ,Arizona,2,201 Cannon House Office Building,rep,2018,Yes,,,
Ann M. Kuster,5-Sep-56,15-Dec-16,60,F,137 Cannon HOB; Washington DC 20515-2902,https://kuster.house.gov/contact/email-me,http://kuster.house.gov,202-225-5206,Democratic,3-Jan-13,3-Jan-17,3,56,NH,New Hampshire,3,137 Cannon House Office Building,rep,2018,Yes,,,
Ann Wagner,13-Sep-62,15-Dec-16,54,F,435 Cannon HOB; Washington DC 20515-2502,https://wagner.house.gov/contact/email-me,http://wagner.house.gov,202-225-1621,Republican,3-Jan-13,3-Jan-17,3,50,MO,Missouri,3,435 Cannon House Office Building,rep,2018,No,The field of climate science is in its relative infancy and it appears that some within the public policy world have made dubious assessments of scientific information in order to further their own political agenda. Our policy response to this dilemma should not be based on inconsistent and unsound science or driven by the fear of a supposed catastrophe.,"Riverfront Times, 5/29/13",http://www.riverfronttimes.com/newsblog/2013/05/29/is-congresswoman-ann-wagner-a-climate-change-denier-warns-of-unsound-science
Anna G. Eshoo,13-Dec-42,15-Dec-16,74,F,241 Cannon HOB; Washington DC 20515-0518,https://eshoo.house.gov/email-me/,http://eshoo.house.gov,202-225-8104,Democratic,5-Jan-93,3-Jan-17,23,50,CA,California,19,241 Cannon House Office Building,rep,2018,Yes,,,
