id/bioguide,id/thomas,id/lis,id/govtrack,id/opensecrets,id/votesmart,id/fec/0,id/fec/1,id/cspan,id/wikipedia,id/house_history,id/ballotpedia,id/maplight,id/icpsr,id/wikidata,id/google_entity_id,name/first,name/last,name/official_full,bio/birthday,bio/gender,bio/religion,terms/0/type,terms/0/start,terms/0/end,terms/0/state,terms/0/district,terms/0/party,terms/1/type,terms/1/start,terms/1/end,terms/1/state,terms/1/district,terms/1/party,terms/2/type,terms/2/start,terms/2/end,terms/2/state,terms/2/district,terms/2/party,terms/3/type,terms/3/start,terms/3/end,terms/3/state,terms/3/district,terms/3/party,terms/4/type,terms/4/start,terms/4/end,terms/4/state,terms/4/district,terms/4/party,terms/5/type,terms/5/start,terms/5/end,terms/5/state,terms/5/district,terms/5/party,terms/5/url,terms/6/type,terms/6/start,terms/6/end,terms/6/state,terms/6/district,terms/6/party,terms/6/url,terms/7/type,terms/7/start,terms/7/end,terms/7/state,terms/7/class,terms/7/party,terms/7/url,terms/7/address,terms/7/phone,terms/7/fax,terms/7/contact_form,terms/7/office,terms/8/type,terms/8/start,terms/8/end,terms/8/state,terms/8/party,terms/8/class,terms/8/url,terms/8/address,terms/8/phone,terms/8/fax,terms/8/contact_form,terms/8/office,terms/8/state_rank,terms/8/rss_url,terms/1/class,terms/1/url,terms/2/class,terms/2/url,terms/2/address,terms/2/phone,terms/2/fax,terms/2/contact_form,terms/2/office,terms/3/class,terms/3/url,terms/3/address,terms/3/phone,terms/3/fax,terms/3/contact_form,terms/3/office,terms/3/state_rank,terms/3/rss_url,name/middle,terms/7/district,terms/8/district,terms/9/type,terms/9/start,terms/9/end,terms/9/state,terms/9/district,terms/9/party,terms/9/url,terms/10/type,terms/10/start,terms/10/end,terms/10/state,terms/10/class,terms/10/party,terms/10/url,terms/10/address,terms/10/phone,terms/10/fax,terms/10/contact_form,terms/10/office,terms/11/type,terms/11/start,terms/11/end,terms/11/state,terms/11/party,terms/11/class,terms/11/url,terms/11/address,terms/11/phone,terms/11/fax,terms/11/contact_form,terms/11/office,terms/11/state_rank,terms/11/rss_url,terms/5/class,terms/6/class,terms/6/address,terms/6/phone,terms/6/fax,terms/6/contact_form,terms/6/office,terms/7/state_rank,terms/7/rss_url,name/nickname,name/suffix,terms/0/class,terms/0/url,terms/0/address,terms/0/phone,terms/0/fax,terms/0/contact_form,terms/0/office,terms/1/address,terms/1/phone,terms/1/fax,terms/1/contact_form,terms/1/office,terms/1/state_rank,terms/1/rss_url,terms/4/class,terms/4/url,terms/4/address,terms/4/phone,terms/4/fax,terms/4/contact_form,terms/4/office,terms/4/state_rank,terms/4/rss_url,terms/5/address,terms/5/phone,terms/5/fax,terms/5/contact_form,terms/5/office,terms/6/state_rank,terms/6/rss_url,other_names/0/last,terms/9/class,terms/9/address,terms/9/phone,terms/9/fax,terms/9/contact_form,terms/9/office,terms/9/state_rank,terms/9/rss_url,terms/9/caucus,terms/2/state_rank,terms/2/rss_url,leadership_roles/0/title,leadership_roles/0/chamber,leadership_roles/0/start,leadership_roles/0/end,leadership_roles/1/title,leadership_roles/1/chamber,leadership_roles/1/start,leadership_roles/1/end,leadership_roles/2/title,leadership_roles/2/chamber,leadership_roles/2/start,leadership_roles/2/end,leadership_roles/3/title,leadership_roles/3/chamber,leadership_roles/3/start,leadership_roles/3/end,leadership_roles/4/title,leadership_roles/4/chamber,leadership_roles/4/start,leadership_roles/4/end,leadership_roles/5/title,leadership_roles/5/chamber,leadership_roles/5/start,terms/10/state_rank,terms/10/rss_url,terms/5/state_rank,terms/5/rss_url,terms/0/state_rank,terms/0/rss_url,family/0/name,family/0/relation,family/1/name,family/1/relation,family/2/name,family/2/relation,family/3/name,family/3/relation,terms/10/district,terms/11/district,terms/12/type,terms/12/start,terms/12/end,terms/12/state,terms/12/district,terms/12/party,terms/12/url,terms/13/type,terms/13/start,terms/13/end,terms/13/state,terms/13/district,terms/13/party,terms/13/url,terms/13/address,terms/13/phone,terms/13/fax,terms/13/contact_form,terms/13/office,terms/14/type,terms/14/start,terms/14/end,terms/14/state,terms/14/party,terms/14/district,terms/14/url,terms/14/address,terms/14/phone,terms/14/fax,terms/14/contact_form,terms/14/office,terms/14/rss_url,terms/15/type,terms/15/start,terms/15/end,terms/15/state,terms/15/party,terms/15/district,terms/15/url,terms/15/address,terms/15/phone,terms/15/fax,terms/15/contact_form,terms/15/office,terms/15/rss_url,id/fec/2,terms/16/type,terms/16/start,terms/16/end,terms/16/state,terms/16/district,terms/16/party,terms/17/type,terms/17/start,terms/17/end,terms/17/state,terms/17/district,terms/17/party,terms/18/type,terms/18/start,terms/18/end,terms/18/state,terms/18/district,terms/18/party,terms/19/type,terms/19/start,terms/19/end,terms/19/state,terms/19/district,terms/19/party,terms/19/url,terms/20/type,terms/20/start,terms/20/end,terms/20/state,terms/20/district,terms/20/party,terms/20/url,terms/21/type,terms/21/start,terms/21/end,terms/21/state,terms/21/district,terms/21/party,terms/21/url,terms/22/type,terms/22/start,terms/22/end,terms/22/state,terms/22/district,terms/22/party,terms/22/url,terms/23/type,terms/23/start,terms/23/end,terms/23/state,terms/23/district,terms/23/party,terms/23/url,terms/23/address,terms/23/phone,terms/23/fax,terms/23/contact_form,terms/23/office,terms/24/type,terms/24/start,terms/24/end,terms/24/state,terms/24/party,terms/24/district,terms/24/url,terms/24/address,terms/24/phone,terms/24/fax,terms/24/contact_form,terms/24/office,terms/24/rss_url,terms/25/type,terms/25/start,terms/25/end,terms/25/state,terms/25/party,terms/25/district,terms/25/url,terms/25/address,terms/25/phone,terms/25/fax,terms/25/contact_form,terms/25/office,terms/25/rss_url,terms/12/address,terms/12/phone,terms/12/fax,terms/12/contact_form,terms/12/office,terms/12/rss_url,terms/13/rss_url,terms/16/url,terms/16/address,terms/16/phone,terms/16/fax,terms/16/contact_form,terms/16/office,terms/16/rss_url,terms/17/url,terms/17/address,terms/17/phone,terms/17/fax,terms/17/contact_form,terms/17/office,terms/17/rss_url,terms/18/url,terms/18/address,terms/18/phone,terms/18/fax,terms/18/contact_form,terms/18/office,terms/19/address,terms/19/phone,terms/19/fax,terms/19/contact_form,terms/19/office,terms/19/rss_url,terms/20/class,terms/20/state_rank,terms/20/phone,terms/20/office,terms/20/address,terms/20/contact_form,terms/21/class,terms/21/state_rank,terms/21/phone,terms/21/office,terms/21/address,terms/21/contact_form,terms/20/fax,terms/21/fax,terms/21/rss_url,terms/22/address,terms/22/phone,terms/22/fax,terms/22/contact_form,terms/22/office,terms/22/rss_url,terms/0/party_affiliations/0/start,terms/0/party_affiliations/0/end,terms/0/party_affiliations/0/party,terms/0/party_affiliations/1/start,terms/0/party_affiliations/1/end,terms/0/party_affiliations/1/party,terms/3/caucus,terms/18/rss_url,terms/5/party_affiliations/0/start,terms/5/party_affiliations/0/end,terms/5/party_affiliations/0/party,terms/5/party_affiliations/1/start,terms/5/party_affiliations/1/end,terms/5/party_affiliations/1/party,terms/20/rss_url,family/4/name,family/4/relation,terms/0/caucus
B000944,00136,S307,400050,N00003535,27018,H2OH13033,S6OH00163,5051,Sherrod Brown,9996,Sherrod Brown,168,29389,Q381880,kg:/m/034s80,Sherrod,Brown,Sherrod Brown,1952-11-09,M,Lutheran,rep,1993-01-05,1995-01-03,OH,13,Democrat,rep,1995-01-04,1997-01-03,OH,13,Democrat,rep,1997-01-07,1999-01-03,OH,13,Democrat,rep,1999-01-06,2001-01-03,OH,13,Democrat,rep,2001-01-03,2003-01-03,OH,13,Democrat,rep,2003-01-07,2005-01-03,OH,13,Democrat,http://www.house.gov/sherrodbrown,rep,2005-01-04,2007-01-03,OH,13,Democrat,http://www.house.gov/sherrodbrown,sen,2007-01-04,2013-01-03,OH,1,Democrat,http://brown.senate.gov/,713 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2315,202-228-6321,http://www.brown.senate.gov/contact/,713 Hart Senate Office Building,sen,2013-01-03,2019-01-03,OH,Democrat,1,https://www.brown.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-2315,202-228-6321,http://www.brown.senate.gov/contact,713 Hart Senate Office Building,senior,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C000127,00172,S275,300018,N00007836,27122,S8WA00194,H2WA01054,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,Maria,Cantwell,Maria Cantwell,1958-10-13,F,Roman Catholic,rep,1993-01-05,1995-01-03,WA,1,Democrat,sen,2001-01-03,2007-01-03,WA,,Democrat,sen,2007-01-04,2013-01-03,WA,,Democrat,sen,2013-01-03,2019-01-03,WA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,http://cantwell.senate.gov,1,http://cantwell.senate.gov,311 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3441,202-228-0514,http://www.cantwell.senate.gov/contact/,311 Hart Senate Office Building,1,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,202-228-0514,http://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,junior,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C000141,00174,S308,400064,N00001955,26888,H6MD03177,S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,1943-10-05,M,Jewish,rep,1987-01-06,1989-01-03,MD,3,Democrat,rep,1989-01-03,1991-01-03,MD,3,Democrat,rep,1991-01-03,1993-01-03,MD,3,Democrat,rep,1993-01-05,1995-01-03,MD,3,Democrat,rep,1995-01-04,1997-01-03,MD,3,Democrat,rep,1997-01-07,1999-01-03,MD,3,Democrat,,rep,1999-01-06,2001-01-03,MD,3,Democrat,,rep,2001-01-03,2003-01-03,MD,,Democrat,,,,,,,rep,2003-01-07,2005-01-03,MD,Democrat,,http://www.house.gov/cardin,,,,,,,,,,,,,,,,,,,,,,,,,,L.,3,3,rep,2005-01-04,2007-01-03,MD,3,Democrat,http://www.house.gov/cardin,sen,2007-01-04,2013-01-03,MD,1,Democrat,http://cardin.senate.gov/,509 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4524,202-224-1651,http://www.cardin.senate.gov/contact/,509 Hart Senate Office Building,sen,2013-01-03,2019-01-03,MD,Democrat,1,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,202-224-1651,http://www.cardin.senate.gov/contact/,509 Hart Senate Office Building,junior,http://www.cardin.senate.gov/rss/feeds/?type=all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C000174,00179,S277,300019,N00012508,22421,S8DE00079,,663,Tom Carper,10671,Tom Carper,545,15015,Q457432,kg:/m/01xw7t,Thomas,Carper,Thomas R. Carper,1947-01-23,M,Presbyterian,rep,1983-01-03,1985-01-03,DE,0,Democrat,rep,1985-01-03,1987-01-03,DE,0,Democrat,rep,1987-01-06,1989-01-03,DE,0,Democrat,rep,1989-01-03,1991-01-03,DE,0,Democrat,rep,1991-01-03,1993-01-03,DE,0,Democrat,sen,2001-01-03,2007-01-03,DE,,Democrat,http://carper.senate.gov,sen,2007-01-04,2013-01-03,DE,,Democrat,http://carper.senate.gov,sen,2013-01-03,2019-01-03,DE,1,Democrat,http://www.carper.senate.gov,513 Hart Senate Office Building Washington DC 20510,202-224-2441,202-228-2190,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,513 Hart Senate Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,513 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2441,202-228-2190,http://www.carper.senate.gov/contact/,513 Hart Senate Office Building,senior,http://www.carper.senate.gov/public/index.cfm/rss/feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C001070,01828,S309,412246,N00027503,2541,S6PA00217,,47036,Bob Casey Jr.,,"Bob Casey, Jr.",727,40703,Q887841,kg:/m/047ymw,Robert,Casey,"Robert P. Casey, Jr.",1960-04-13,M,,sen,2007-01-04,2013-01-03,PA,,Democrat,sen,2013-01-03,2019-01-03,PA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.casey.senate.gov,,,,,,,,,,,,,,,,,P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bob,Jr.,1,http://casey.senate.gov/,393 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6324,202-228-0604,http://www.casey.senate.gov/contact/,393 Russell Senate Office Building,393 Russell Senate Office Building Washington DC 20510,202-224-6324,202-228-0604,http://www.casey.senate.gov/contact/,393 Russell Senate Office Building,senior,http://www.casey.senate.gov/rss/feeds/?all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C001071,01825,S310,412248,N00027441,65905,S6TN00216,S4TN00187,1021114,Bob Corker,,Bob Corker,729,40705,Q331719,kg:/m/0d9fz3,Bob,Corker,Bob Corker,1952-08-24,M,,sen,2007-01-04,2013-01-03,TN,,Republican,sen,2013-01-03,2019-01-03,TN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,http://www.corker.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,http://corker.senate.gov/,185 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3344,202-228-0566,http://www.corker.senate.gov/public/index.cfm?p=ContactMe,185 Dirksen Senate Office Building,425 Dirksen Senate Office Building Washington DC 20510,202-224-3344,202-228-0566,http://www.corker.senate.gov/public/index.cfm/emailme,425 Dirksen Senate Office Building,junior,http://www.corker.senate.gov/public/index.cfm/rss/feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000062,01332,S221,300043,N00007364,53273,S0CA00199,,13061,Dianne Feinstein,13044,Dianne Feinstein,567,49300,Q230733,kg:/m/01gqws,Dianne,Feinstein,Dianne Feinstein,1933-06-22,F,Jewish,sen,1992-11-10,1995-01-03,CA,,Democrat,sen,1995-01-04,2001-01-03,CA,,Democrat,sen,2001-01-03,2007-01-03,CA,,Democrat,sen,2007-01-04,2013-01-03,CA,,Democrat,sen,2013-01-03,2019-01-03,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,http://feinstein.senate.gov,,,,,,1,http://feinstein.senate.gov,331 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3841,202-228-3954,http://www.feinstein.senate.gov/public/index.cfm/e-mail-me,331 Hart Senate Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,http://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,202-228-3954,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,331 Hart Senate Office Building,senior,http://www.feinstein.senate.gov/public/?a=rss.feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H000338,01351,S118,300052,N00009869,53352,S6UT00063,P00003806,189,Orrin Hatch,,Orrin Hatch,574,14503,Q381157,kg:/m/016mj4,Orrin,Hatch,Orrin G. Hatch,1934-03-22,M,Latter Day Saints,sen,1977-01-04,1983-01-03,UT,,Republican,sen,1983-01-03,1989-01-03,UT,,Republican,sen,1989-01-03,1995-01-03,UT,,Republican,sen,1995-01-04,2001-01-03,UT,,Republican,sen,2001-01-03,2007-01-03,UT,,Republican,sen,2007-01-04,2013-01-03,UT,,Republican,http://hatch.senate.gov/,sen,2013-01-03,2019-01-03,UT,,Republican,http://www.hatch.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,104 Hart Senate Office Building Washington DC 20510,202-224-5251,202-224-6331,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,104 Hart Senate Office Building,,,,,1,,,,,,,,,,,,,,1,http://hatch.senate.gov/,,,,,,,,104 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5251,202-224-6331,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,104 Hart Senate Office Building,senior,http://www.hatch.senate.gov/public/index.cfm/rss/feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K000367,01826,S311,412242,N00027500,65092,S6MN00267,,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,Amy,Klobuchar,Amy Klobuchar,1960-05-25,F,,sen,2007-01-04,2013-01-03,MN,,Democrat,sen,2013-01-03,2019-01-03,MN,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,http://www.klobuchar.senate.gov,,,,,,,,,,,,,,,,,Jean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,http://klobuchar.senate.gov/,302 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3244,202-228-2186,http://www.klobuchar.senate.gov/emailamy.cfm,302 Hart Senate Office Building,302 Hart Senate Office Building Washington DC 20510,202-224-3244,202-228-2186,http://www.klobuchar.senate.gov/public/email-amy,302 Hart Senate Office Building,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001170,01820,S312,412243,N00027694,2109,S6MO00305,P80005721,1012014,Claire McCaskill,18811,Claire McCaskill,725,40701,Q22260,kg:/m/040_w4,Claire,McCaskill,Claire McCaskill,1953-07-24,F,,sen,2007-01-04,2013-01-03,MO,,Democrat,sen,2013-01-03,2019-01-03,MO,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.mccaskill.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,http://mccaskill.senate.gov/,506 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6154,202-228-6326,http://www.mccaskill.senate.gov/?p=contact,506 Hart Senate Office Building,730 Hart Senate Office Building Washington DC 20510,202-224-6154,202-228-6326,http://www.mccaskill.senate.gov/?p=contact,730 Hart Senate Office Building,senior,http://mccaskill.senate.gov/rss/?p=news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
