,name/official_full,bio/birthday,bio/gender,address,contact_form,url,phone,party,dateInOffice,endOfTerm,yearsInCongress,state,district,office,position
0,Sherrod Brown,11/9/52,M,713 Hart Senate Office Building Washington DC 20510,http://www.brown.senate.gov/contact,https://www.brown.senate.gov,202-224-2315,Democrat,1/5/93,1/3/19,26.0,OH,,713 Hart Senate Office Building,sen
1,Maria Cantwell,10/13/58,F,511 Hart Senate Office Building Washington DC 20510,http://www.cantwell.senate.gov/public/index.cfm/email-maria,https://www.cantwell.senate.gov,202-224-3441,Democrat,1/5/93,1/3/19,20.0,WA,,511 Hart Senate Office Building,sen
2,Benjamin L. Cardin,10/5/43,M,509 Hart Senate Office Building Washington DC 20510,http://www.cardin.senate.gov/contact/,https://www.cardin.senate.gov,202-224-4524,Democrat,1/6/87,1/3/19,32.0,MD,,509 Hart Senate Office Building,sen
3,Thomas R. Carper,1/23/47,M,513 Hart Senate Office Building Washington DC 20510,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov,202-224-2441,Democrat,1/3/83,1/3/19,28.0,DE,,513 Hart Senate Office Building,sen
4,"Robert P. Casey, Jr.",4/13/60,M,393 Russell Senate Office Building Washington DC 20510,http://www.casey.senate.gov/contact/,https://www.casey.senate.gov,202-224-6324,Democrat,1/4/07,1/3/19,12.0,PA,,393 Russell Senate Office Building,sen
5,Bob Corker,8/24/52,M,425 Dirksen Senate Office Building Washington DC 20510,http://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov,202-224-3344,Republican,1/4/07,1/3/19,12.0,TN,,425 Dirksen Senate Office Building,sen
6,Dianne Feinstein,6/22/33,F,331 Hart Senate Office Building Washington DC 20510,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov,202-224-3841,Democrat,11/10/92,1/3/19,30.0,CA,,331 Hart Senate Office Building,sen
7,Orrin G. Hatch,3/22/34,M,104 Hart Senate Office Building Washington DC 20510,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov,202-224-5251,Republican,1/4/77,1/3/19,42.0,UT,,104 Hart Senate Office Building,sen
8,Amy Klobuchar,5/25/60,F,302 Hart Senate Office Building Washington DC 20510,http://www.klobuchar.senate.gov/public/email-amy,http://www.klobuchar.senate.gov,202-224-3244,Democrat,1/4/07,1/3/19,12.0,MN,,302 Hart Senate Office Building,sen
9,Claire McCaskill,7/24/53,F,730 Hart Senate Office Building Washington DC 20510,http://www.mccaskill.senate.gov/?p=contact,https://www.mccaskill.senate.gov,202-224-6154,Democrat,1/4/07,1/3/19,12.0,MO,,730 Hart Senate Office Building,sen
10,Robert Menendez,1/1/54,M,528 Hart Senate Office Building Washington DC 20510,http://www.menendez.senate.gov/contact,http://www.menendez.senate.gov,202-224-4744,Democrat,1/5/93,1/3/19,32.0,NJ,,528 Hart Senate Office Building,sen
11,Bill Nelson,9/29/42,M,716 Hart Senate Office Building Washington DC 20510,http://www.billnelson.senate.gov/contact-bill,https://www.billnelson.senate.gov,202-224-5274,Democrat,1/15/79,1/3/19,30.0,FL,,716 Hart Senate Office Building,sen
12,Bernard Sanders,9/8/41,M,332 Dirksen Senate Office Building Washington DC 20510,http://www.sanders.senate.gov/contact/comment,http://www.sanders.senate.gov,202-224-5141,Independent,1/3/91,1/3/19,28.0,VT,,332 Dirksen Senate Office Building,sen
13,Debbie Stabenow,4/29/50,F,731 Hart Senate Office Building Washington DC 20510,http://www.stabenow.senate.gov/?p=contact,http://www.stabenow.senate.gov,202-224-4822,Democrat,1/7/97,1/3/19,22.0,MI,,731 Hart Senate Office Building,sen
14,Jon Tester,8/21/56,M,311 Hart Senate Office Building Washington DC 20510,http://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov,202-224-2644,Democrat,1/4/07,1/3/19,12.0,MT,,311 Hart Senate Office Building,sen
15,Sheldon Whitehouse,10/20/55,M,530 Hart Senate Office Building Washington DC 20510,http://www.whitehouse.senate.gov/contact,https://www.whitehouse.senate.gov,202-224-2921,Democrat,1/4/07,1/3/19,12.0,RI,,530 Hart Senate Office Building,sen
16,John Barrasso,7/21/52,M,307 Dirksen Senate Office Building Washington DC 20510,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,http://www.barrasso.senate.gov,202-224-6441,Republican,6/25/07,1/3/19,12.0,WY,,307 Dirksen Senate Office Building,sen
17,Roger F. Wicker,7/5/51,M,555 Dirksen Senate Office Building Washington DC 20510,http://www.wicker.senate.gov/public/index.cfm/contact,http://www.wicker.senate.gov,202-224-6253,Republican,1/4/95,1/3/19,26.0,MS,,555 Dirksen Senate Office Building,sen
18,Lamar Alexander,7/3/40,M,455 Dirksen Senate Office Building Washington DC 20510,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov,202-224-4944,Republican,1/7/03,1/3/21,18.0,TN,,455 Dirksen Senate Office Building,sen
19,Thad Cochran,12/7/37,M,113 Dirksen Senate Office Building Washington DC 20510,http://www.cochran.senate.gov/public/index.cfm/email-me,http://www.cochran.senate.gov,202-224-5054,Republican,1/3/73,1/3/21,48.0,MS,,113 Dirksen Senate Office Building,sen
20,Susan M. Collins,12/7/52,F,413 Dirksen Senate Office Building Washington DC 20510,http://www.collins.senate.gov/public/index.cfm/email,https://www.collins.senate.gov,202-224-2523,Republican,1/7/97,1/3/21,24.0,ME,,413 Dirksen Senate Office Building,sen
21,John Cornyn,2/2/52,M,517 Hart Senate Office Building Washington DC 20510,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,https://www.cornyn.senate.gov,202-224-2934,Republican,1/1/02,1/3/21,24.0,TX,,517 Hart Senate Office Building,sen
22,Richard J. Durbin,11/21/44,M,711 Hart Senate Office Building Washington DC 20510,http://www.durbin.senate.gov/public/index.cfm/contact,http://www.durbin.senate.gov,202-224-2152,Democrat,1/3/83,1/3/21,38.0,IL,,711 Hart Senate Office Building,sen
23,Michael B. Enzi,2/1/44,M,379A Russell Senate Office Building Washington DC 20510,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov,202-224-3424,Republican,1/7/97,1/3/21,24.0,WY,,379a Russell Senate Office Building,sen
24,Lindsey Graham,7/9/55,M,290 Russell Senate Office Building Washington DC 20510,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Contact.EmailSenatorGraham,http://www.lgraham.senate.gov,202-224-5972,Republican,1/4/95,1/3/21,26.0,SC,,290 Russell Senate Office Building,sen
25,James M. Inhofe,11/17/34,M,205 Russell Senate Office Building Washington DC 20510,http://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov,202-224-4721,Republican,1/6/87,1/3/21,38.0,OK,,205 Russell Senate Office Building,sen
26,Mitch McConnell,2/20/42,M,317 Russell Senate Office Building Washington DC 20510,http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm,http://www.mcconnell.senate.gov,202-224-2541,Republican,1/3/85,1/3/21,36.0,KY,,317 Russell Senate Office Building,sen
27,Jeff Merkley,10/24/56,M,313 Hart Senate Office Building Washington DC 20510,http://www.merkley.senate.gov/contact/,https://www.merkley.senate.gov,202-224-3753,Democrat,1/6/09,1/3/21,12.0,OR,,313 Hart Senate Office Building,sen
28,Jack Reed,11/12/49,M,728 Hart Senate Office Building Washington DC 20510,http://www.reed.senate.gov/contact/,https://www.reed.senate.gov,202-224-4642,Democrat,1/3/91,1/3/21,30.0,RI,,728 Hart Senate Office Building,sen
29,James E. Risch,5/3/43,M,483 Russell Senate Office Building Washington DC 20510,http://www.risch.senate.gov/public/index.cfm?p=Email,http://www.risch.senate.gov,202-224-2752,Republican,1/6/09,1/3/21,12.0,ID,,483 Russell Senate Office Building,sen
