Representative,State,District,BirthDate,DateInOffice,AgeAtTakingOfficeYear,AgeAtTakingOfficeDay,YearsInOffice,Party,BelieveClimateChange,CurrentAge,NotableQuote,YearNextElection,114Member,115Member,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfSenateWin,PercentMarginOfPresidentialCandidateVictory
Bradley Byrne,Alabama,1.,,,,,,Republican,,,,,,,,,
Martha Roby,Alabama,2.,,,,,,Republican,,,,,,,,,
Mike Rogers,Alabama,3.,,,,,,Republican,,,,,,,,,
Robert Aderholt,Alabama,4.,,,,,,Republican,,,,,,,,,
Mo Brooks,Alabama,5.,,,,,,Republican,,,,,,,,,
Gary Palmer,Alabama,6.,,,,,,Republican,,,,,,,,,
Terri Sewell,Alabama,7.,,,,,,Democratic,,,,,,,,,
Don Young,Alaska,At-large,1.,,,,,Republican,,,,,,,,,
Ann Kirkpatrick,Arizona,1.,,,,,,Democratic,,,,,,,,,
Martha McSally,Arizona,2.,,,,,,Republican,,,,,,,,,
Raúl Grijalva,Arizona,3.,,,,,,Democratic,,,,,,,,,
Paul Gosar,Arizona,4.,,,,,,Republican,,,,,,,,,
Matt Salmon,Arizona,5.,,,,,,Republican,,,,,,,,,
David Schweikert,Arizona,6.,,,,,,Republican,,,,,,,,,
Ruben Gallego,Arizona,7.,,,,,,Democratic,,,,,,,,,
Trent Franks,Arizona,8.,,,,,,Republican,,,,,,,,,
Kyrsten Sinema,Arizona,9.,,,,,,Democratic,,,,,,,,,
Rick Crawford,Arkansas,1.,,,,,,Republican,,,,,,,,,
French Hill,Arkansas,2.,,,,,,Republican,,,,,,,,,
Steve Womack,Arkansas,3.,,,,,,Republican,,,,,,,,,
Bruce Westerman,Arkansas,4.,,,,,,Republican,,,,,,,,,
Doug LaMalfa,California,1.,,,,,,Republican,,,,,,,,,
Jared Huffman,California,2.,,,,,,Democratic,,,,,,,,,
John Garamendi,California,3.,,,,,,Democratic,,,,,,,,,
Tom McClintock,California,4.,,,,,,Republican,,,,,,,,,
Mike Thompson,California,5.,,,,,,Democratic,,,,,,,,,
Doris Matsui,California,6.,,,,,,Democratic,,,,,,,,,
Ami Bera,California,7.,,,,,,Democratic,,,,,,,,,
Paul Cook,California,8.,,,,,,Republican,,,,,,,,,
Jerry McNerney,California,9.,,,,,,Democratic,,,,,,,,,
Jeff Denham,California,10.,,,,,,Republican,,,,,,,,,
Mark DeSaulnier,California,11.,,,,,,Democratic,,,,,,,,,
Nancy Pelosi,California,12.,,,,,,Democratic,,,,,,,,,
Barbara Lee,California,13.,,,,,,Democratic,,,,,,,,,
Jackie Speier,California,14.,,,,,,Democratic,,,,,,,,,
Eric Swalwell,California,15.,,,,,,Democratic,,,,,,,,,
Jim Costa,California,16.,,,,,,Democratic,,,,,,,,,
Mike Honda,California,17.,,,,,,Democratic,,,,,,,,,
Anna Eshoo,California,18.,,,,,,Democratic,,,,,,,,,
Zoe Lofgren,California,19.,,,,,,Democratic,,,,,,,,,
Sam Farr,California,20.,,,,,,Democratic,,,,,,,,,
David Valadao,California,21.,,,,,,Republican,,,,,,,,,
Devin Nunes,California,22.,,,,,,Republican,,,,,,,,,
Kevin McCarthy,California,23.,,,,,,Republican,,,,,,,,,
Lois Capps,California,24.,,,,,,Democratic,,,,,,,,,
Steve Knight,California,25.,,,,,,Republican,,,,,,,,,
Julia Brownley,California,26.,,,,,,Democratic,,,,,,,,,
Judy Chu,California,27.,,,,,,Democratic,,,,,,,,,
Adam Schiff,California,28.,,,,,,Democratic,,,,,,,,,
Tony Cardenas,California,29.,,,,,,Democratic,,,,,,,,,
Brad Sherman,California,30.,,,,,,Democratic,,,,,,,,,
Pete Aguilar,California,31.,,,,,,Democratic,,,,,,,,,
Grace Napolitano,California,32.,,,,,,Democratic,,,,,,,,,
Ted Lieu,California,33.,,,,,,Democratic,,,,,,,,,
Xavier Becerra,California,34.,,,,,,Democratic,,,,,,,,,
Norma Torres,California,35.,,,,,,Democratic,,,,,,,,,
Raul Ruiz,California,36.,,,,,,Democratic,,,,,,,,,
Karen Bass,California,37.,,,,,,Democratic,,,,,,,,,
Linda Sánchez,California,38.,,,,,,Democratic,,,,,,,,,
Ed Royce,California,39.,,,,,,Republican,,,,,,,,,
Lucille Roybal-Allard,California,40.,,,,,,Democratic,,,,,,,,,
Mark Takano,California,41.,,,,,,Democratic,,,,,,,,,
Ken Calvert,California,42.,,,,,,Republican,,,,,,,,,
Maxine Waters,California,43.,,,,,,Democratic,,,,,,,,,
Janice Hahn,California,44.,,,,,,Democratic,,,,,,,,,
Mimi Walters,California,45.,,,,,,Republican,,,,,,,,,
Loretta Sanchez,California,46.,,,,,,Democratic,,,,,,,,,
Alan Lowenthal,California,47.,,,,,,Democratic,,,,,,,,,
Dana Rohrabacher,California,48.,,,,,,Republican,,,,,,,,,
Darrell Issa,California,49.,,,,,,Republican,,,,,,,,,
Duncan D. Hunter,California,50.,,,,,,Republican,,,,,,,,,
Juan Vargas,California,51.,,,,,,Democratic,,,,,,,,,
Scott Peters,California,52.,,,,,,Democratic,,,,,,,,,
Susan Davis,California,53.,,,,,,Democratic,,,,,,,,,
Diana DeGette,Colorado,1.,,,,,,Democratic,,,,,,,,,
Jared Polis,Colorado,2.,,,,,,Democratic,,,,,,,,,
Scott Tipton,Colorado,3.,,,,,,Republican,,,,,,,,,
Ken Buck,Colorado,4.,,,,,,Republican,,,,,,,,,
Doug Lamborn,Colorado,5.,,,,,,Republican,,,,,,,,,
Mike Coffman,Colorado,6.,,,,,,Republican,,,,,,,,,
Ed Perlmutter,Colorado,7.,,,,,,Democratic,,,,,,,,,
John Larson,Connecticut,1.,,,,,,Democratic,,,,,,,,,
Joe Courtney,Connecticut,2.,,,,,,Democratic,,,,,,,,,
Rosa DeLauro,Connecticut,3.,,,,,,Democratic,,,,,,,,,
Jim Himes,Connecticut,4.,,,,,,Democratic,,,,,,,,,
Elizabeth Esty,Connecticut,5.,,,,,,Democratic,,,,,,,,,
John Carney,Delaware,At-large,1.,,,,,Democratic,,,,,,,,,
Jeff Miller,Florida,1.,,,,,,Republican,,,,,,,,,
Gwen Graham,Florida,2.,,,,,,Democratic,,,,,,,,,
Ted Yoho,Florida,3.,,,,,,Republican,,,,,,,,,
Ander Crenshaw,Florida,4.,,,,,,Republican,,,,,,,,,
Corrine Brown,Florida,5.,,,,,,Democratic,,,,,,,,,
Ron DeSantis,Florida,6.,,,,,,Republican,,,,,,,,,
John Mica,Florida,7.,,,,,,Republican,,,,,,,,,
Bill Posey,Florida,8.,,,,,,Republican,,,,,,,,,
Alan Grayson,Florida,9.,,,,,,Democratic,,,,,,,,,
Daniel Webster,Florida,10.,,,,,,Republican,,,,,,,,,
Rich Nugent,Florida,11.,,,,,,Republican,,,,,,,,,
Gus Bilirakis,Florida,12.,,,,,,Republican,,,,,,,,,
David Jolly,Florida,13.,,,,,,Republican,,,,,,,,,
Kathy Castor,Florida,14.,,,,,,Democratic,,,,,,,,,
Dennis Ross,Florida,15.,,,,,,Republican,,,,,,,,,
Vern Buchanan,Florida,16.,,,,,,Republican,,,,,,,,,
Tom Rooney,Florida,17.,,,,,,Republican,,,,,,,,,
Patrick Murphy,Florida,18.,,,,,,Democratic,,,,,,,,,
Curt Clawson,Florida,19.,,,,,,Republican,,,,,,,,,
Alcee Hastings,Florida,20.,,,,,,Democratic,,,,,,,,,
Ted Deutch,Florida,21.,,,,,,Democratic,,,,,,,,,
Lois Frankel,Florida,22.,,,,,,Democratic,,,,,,,,,
Debbie Wasserman Schult,Florida,23.,,,,,,Democratic,,,,,,,,,
Frederica Wilson,Florida,24.,,,,,,Democratic,,,,,,,,,
Mario Diaz-Balart,Florida,25.,,,,,,Republican,,,,,,,,,
Carlos Curbelo,Florida,26.,,,,,,Republican,,,,,,,,,
Ileana Ros-Lehtinen,Florida,27.,,,,,,Republican,,,,,,,,,
Buddy Carter,Georgia,1.,,,,,,Republican,,,,,,,,,
Sanford Bishop,Georgia,2.,,,,,,Democratic,,,,,,,,,
Lynn Westmoreland,Georgia,3.,,,,,,Republican,,,,,,,,,
Hank Johnson,Georgia,4.,,,,,,Democratic,,,,,,,,,
John Lewis,Georgia,5.,,,,,,Democratic,,,,,,,,,
Tom Price,Georgia,6.,,,,,,Republican,,,,,,,,,
Rob Woodall,Georgia,7.,,,,,,Republican,,,,,,,,,
Austin Scott,Georgia,8.,,,,,,Republican,,,,,,,,,
Doug Collins,Georgia,9.,,,,,,Republican,,,,,,,,,
Jody Hice,Georgia,10.,,,,,,Republican,,,,,,,,,
Barry Loudermilk,Georgia,11.,,,,,,Republican,,,,,,,,,
Rick Allen,Georgia,12.,,,,,,Republican,,,,,,,,,
David Scott,Georgia,13.,,,,,,Democratic,,,,,,,,,
Tom Graves,Georgia,14.,,,,,,Republican,,,,,,,,,
Colleen Hanabusa,Hawaii,1.,,,,,,Democratic,,,,,,,,,
Tulsi Gabbard,Hawaii,2.,,,,,,Democratic,,,,,,,,,
Raul Labrador,Idaho,1.,,,,,,Republican,,,,,,,,,
Mike Simpson,Idaho,2.,,,,,,Republican,,,,,,,,,
Bobby Rush,Illinois,1.,,,,,,Democratic,,,,,,,,,
Robin Kelly,Illinois,2.,,,,,,Democratic,,,,,,,,,
Dan Lipinski,Illinois,3.,,,,,,Democratic,,,,,,,,,
Luis Gutiérrez,Illinois,4.,,,,,,Democratic,,,,,,,,,
Mike Quigley,Illinois,5.,,,,,,Democratic,,,,,,,,,
Peter Roskam,Illinois,6.,,,,,,Republican,,,,,,,,,
Danny Davis,Illinois,7.,,,,,,Democratic,,,,,,,,,
Tammy Duckworth,Illinois,8.,,,,,,Democratic,,,,,,,,,
Jan Schakowsky,Illinois,9.,,,,,,Democratic,,,,,,,,,
Robert Dold,Illinois,10.,,,,,,Republican,,,,,,,,,
Bill Foster,Illinois,11.,,,,,,Democratic,,,,,,,,,
Mike Bost,Illinois,12.,,,,,,Republican,,,,,,,,,
Rodney Davis,Illinois,13.,,,,,,Republican,,,,,,,,,
Randy Hultgren,Illinois,14.,,,,,,Republican,,,,,,,,,
John Shimkus,Illinois,15.,,,,,,Republican,,,,,,,,,
Adam Kinzinger,Illinois,16.,,,,,,Republican,,,,,,,,,
Cheri Bustos,Illinois,17.,,,,,,Democratic,,,,,,,,,
Darin LaHood,Illinois,18.,,,,,,Republican,,,,,,,,,
Pete Visclosky,Indiana,1.,,,,,,Democratic,,,,,,,,,
Jackie Walorski,Indiana,2.,,,,,,Republican,,,,,,,,,
Marlin Stutzman,Indiana,3.,,,,,,Republican,,,,,,,,,
Todd Rokita,Indiana,4.,,,,,,Republican,,,,,,,,,
Susan Brooks,Indiana,5.,,,,,,Republican,,,,,,,,,
Luke Messer,Indiana,6.,,,,,,Republican,,,,,,,,,
André Carson,Indiana,7.,,,,,,Democratic,,,,,,,,,
Larry Bucshon,Indiana,8.,,,,,,Republican,,,,,,,,,
Todd Young,Indiana,9.,,,,,,Republican,,,,,,,,,
Rod Blum,Iowa,1.,,,,,,Republican,,,,,,,,,
David Loebsack,Iowa,2.,,,,,,Democratic,,,,,,,,,
David Young,Iowa,3.,,,,,,Republican,,,,,,,,,
Steve King,Iowa,4.,,,,,,Republican,,,,,,,,,
Tim Huelskamp,Kansas,1.,,,,,,Republican,,,,,,,,,
Lynn Jenkins,Kansas,2.,,,,,,Republican,,,,,,,,,
Kevin Yoder,Kansas,3.,,,,,,Republican,,,,,,,,,
Mike Pompeo,Kansas,4.,,,,,,Republican,,,,,,,,,
James Comer,Kentucky,1.,,,,,,Republican,,,,,,,,,
Brett Guthrie,Kentucky,2.,,,,,,Republican,,,,,,,,,
John Yarmuth,Kentucky,3.,,,,,,Democratic,,,,,,,,,
Thomas Massie,Kentucky,4.,,,,,,Republican,,,,,,,,,
Hal Rogers,Kentucky,5.,,,,,,Republican,,,,,,,,,
Andy Barr,Kentucky,6.,,,,,,Republican,,,,,,,,,
Steve Scalise,Louisiana,1.,,,,,,Republican,,,,,,,,,
Cedric Richmond,Louisiana,2.,,,,,,Democratic,,,,,,,,,
Charles Boustany,Louisiana,3.,,,,,,Republican,,,,,,,,,
John Fleming,Louisiana,4.,,,,,,Republican,,,,,,,,,
Ralph Abraham,Louisiana,5.,,,,,,Republican,,,,,,,,,
Garret Graves,Louisiana,6.,,,,,,Republican,,,,,,,,,
Chellie Pingree,Maine,1.,,,,,,Democratic,,,,,,,,,
Bruce Poliquin,Maine,2.,,,,,,Republican,,,,,,,,,
Andy Harris,Maryland,1.,,,,,,Republican,,,,,,,,,
