,District,Party,Representative,MarginOfVictory,TotalVotes,MainOpposition,BelieveClimateChange,BirthDate,DateInOffice,AgeAtTakingOfficeYear,YearsInOffice,AgeAtTakingOfficeDay,NotableQuote,YearNextElection,114Member,115Member,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfPresidentialCandidateVictory
0,Alabama District 1,Republican,Bradley Byrne,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
1,Alabama District 2,Republican,Martha Roby,9.3%,"246,090",Nathan Mathis,,,,,,,,,1,1.0,,
2,Alabama District 3,Republican,Mike Rogers,34.2%,"284,291",Jesse Smith,,,,,,,,,1,1.0,,
3,Alabama District 4,Republican,Robert Aderholt,100.0%,Pending,Unopposed,No,,,,,,"""I fall into the second group of people who believe, as do many very credible scientists, that the earth is currently in a natural warming cycle rather than a man-made climate change. Many scientists believe that natural cycles of warming and cooling have existed since the beginning of Earth. If we take the current models of climate prediction and apply those same models to what actually happened in the last thirty years, the models are shown to be very flawed. In addition, what knowledge we do have of a warming period in the Middle Ages cannot be explained by current models which are focused on greenhouse gas reductions.""",,1,1.0,,
4,Alabama District 5,Republican,Mo Brooks,21.8%,"336,368",Will Boyd,No,,,,,,"“I’m also old enough to remember when the same left-wing part of our society was creating a global cooling scare in order to generate funds for their pet projects. So 30-some years ago the big scare was global cooling, and once they drained that [topic], they shifted to global warming. So I’m approaching the issue with a healthy degree of skepticism. If the evidence is there to prove it, then so be it.”",,1,1.0,,
5,Alabama District 6,Republican,Gary Palmer,49.5%,"322,193",David Putman,No,,,,,,"“I have a long history of advocating for common sense environmentalism while fighting environmental alarmism. This hearing demonstrated that our current path is based on alarmism. As Dr. Curry testified at the hearing, climate has always changed and always will change, and the models that proponents of vastly reduced carbon emissions rely upon to justify their preferred policies, have proven inaccurate.”",,1,1.0,,
6,Alabama District 7,Democratic,Terri Sewell,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
7,Alaska's At-Large District,Republican,Don Young,14.0%,"248,775",Steve Lindbeck,No,,,,,,"Young said ""we have to adapt” to climate change but “the arrogance of mankind thinking they can do everything good and everything bad is beyond my imagination. This is not a new thing, never been a new thing.” He then said plenty of scientists “say this is all hogwash, that man is not involved … I’m not changing. I know exactly where I’m headed. I’ll probably be right in the long run.”",,1,1.0,,
8,Arizona District 1,Democratic,Tom O'Halleran,7.3%,"230,406",Paul Babeu,,,,,,,,,1,0.0,,
9,Arizona District 2,Republican,Martha McSally,13.3%,"278,249",Matt Heinz,,,,,,,,,1,1.0,,
