,name/first,name/middle,name/last,name/official_full,name/nickname,name/suffix,bio/birthday,bio/gender,id/ballotpedia,id/wikipedia,terms/0/address,terms/0/class,terms/0/contact_form,terms/0/district,terms/0/end,terms/0/fax,terms/0/office,terms/0/party,terms/0/phone,terms/0/rss_url,terms/0/start,terms/0/state,terms/0/state_rank,terms/0/type,terms/0/url,terms/1/address,terms/1/class,terms/1/contact_form,terms/1/district,terms/1/end,terms/1/fax,terms/1/office,terms/1/party,terms/1/phone,terms/1/rss_url,terms/1/start,terms/1/state,terms/1/state_rank,terms/1/type,terms/1/url,terms/2/address,terms/2/class,terms/2/contact_form,terms/2/district,terms/2/end,terms/2/fax,terms/2/office,terms/2/party,terms/2/phone,terms/2/rss_url,terms/2/start,terms/2/state,terms/2/state_rank,terms/2/type,terms/2/url,terms/3/address,terms/3/class,terms/3/contact_form,terms/3/district,terms/3/end,terms/3/fax,terms/3/office,terms/3/party,terms/3/phone,terms/3/rss_url,terms/3/start,terms/3/state,terms/3/state_rank,terms/3/type,terms/3/url,terms/4/address,terms/4/class,terms/4/contact_form,terms/4/district,terms/4/end,terms/4/fax,terms/4/office,terms/4/party,terms/4/phone,terms/4/rss_url,terms/4/start,terms/4/state,terms/4/state_rank,terms/4/type,terms/4/url,terms/5/address,terms/5/class,terms/5/contact_form,terms/5/district,terms/5/end,terms/5/fax,terms/5/office,terms/5/party,terms/5/phone,terms/5/rss_url,terms/5/start,terms/5/state,terms/5/state_rank,terms/5/type,terms/5/url,terms/6/address,terms/6/class,terms/6/contact_form,terms/6/district,terms/6/end,terms/6/fax,terms/6/office,terms/6/party,terms/6/phone,terms/6/rss_url,terms/6/start,terms/6/state,terms/6/state_rank,terms/6/type,terms/6/url,terms/7/address,terms/7/class,terms/7/contact_form,terms/7/district,terms/7/end,terms/7/fax,terms/7/office,terms/7/party,terms/7/phone,terms/7/rss_url,terms/7/start,terms/7/state,terms/7/state_rank,terms/7/type,terms/7/url,terms/8/address,terms/8/class,terms/8/contact_form,terms/8/district,terms/8/end,terms/8/fax,terms/8/office,terms/8/party,terms/8/phone,terms/8/rss_url,terms/8/start,terms/8/state,terms/8/state_rank,terms/8/type,terms/8/url,terms/9/address,terms/9/caucus,terms/9/class,terms/9/contact_form,terms/9/district,terms/9/end,terms/9/fax,terms/9/office,terms/9/party,terms/9/phone,terms/9/rss_url,terms/9/start,terms/9/state,terms/9/state_rank,terms/9/type,terms/9/url,terms/10/address,terms/10/class,terms/10/contact_form,terms/10/district,terms/10/end,terms/10/fax,terms/10/office,terms/10/party,terms/10/phone,terms/10/rss_url,terms/10/start,terms/10/state,terms/10/state_rank,terms/10/type,terms/10/url,terms/11/address,terms/11/class,terms/11/contact_form,terms/11/district,terms/11/end,terms/11/fax,terms/11/office,terms/11/party,terms/11/phone,terms/11/rss_url,terms/11/start,terms/11/state,terms/11/state_rank,terms/11/type,terms/11/url,terms/12/address,terms/12/contact_form,terms/12/district,terms/12/end,terms/12/fax,terms/12/office,terms/12/party,terms/12/phone,terms/12/rss_url,terms/12/start,terms/12/state,terms/12/type,terms/12/url,terms/13/address,terms/13/contact_form,terms/13/district,terms/13/end,terms/13/fax,terms/13/office,terms/13/party,terms/13/phone,terms/13/rss_url,terms/13/start,terms/13/state,terms/13/type,terms/13/url,terms/14/address,terms/14/contact_form,terms/14/district,terms/14/end,terms/14/fax,terms/14/office,terms/14/party,terms/14/phone,terms/14/rss_url,terms/14/start,terms/14/state,terms/14/type,terms/14/url,terms/15/address,terms/15/contact_form,terms/15/district,terms/15/end,terms/15/fax,terms/15/office,terms/15/party,terms/15/phone,terms/15/rss_url,terms/15/start,terms/15/state,terms/15/type,terms/15/url,terms/16/address,terms/16/contact_form,terms/16/district,terms/16/end,terms/16/fax,terms/16/office,terms/16/party,terms/16/phone,terms/16/rss_url,terms/16/start,terms/16/state,terms/16/type,terms/16/url,terms/17/address,terms/17/contact_form,terms/17/district,terms/17/end,terms/17/fax,terms/17/office,terms/17/party,terms/17/phone,terms/17/rss_url,terms/17/start,terms/17/state,terms/17/type,terms/17/url,terms/18/address,terms/18/contact_form,terms/18/district,terms/18/end,terms/18/fax,terms/18/office,terms/18/party,terms/18/phone,terms/18/rss_url,terms/18/start,terms/18/state,terms/18/type,terms/18/url,terms/19/address,terms/19/contact_form,terms/19/district,terms/19/end,terms/19/fax,terms/19/office,terms/19/party,terms/19/phone,terms/19/rss_url,terms/19/start,terms/19/state,terms/19/type,terms/19/url,terms/20/address,terms/20/class,terms/20/contact_form,terms/20/district,terms/20/end,terms/20/fax,terms/20/office,terms/20/party,terms/20/phone,terms/20/rss_url,terms/20/start,terms/20/state,terms/20/state_rank,terms/20/type,terms/20/url,terms/21/address,terms/21/class,terms/21/contact_form,terms/21/district,terms/21/end,terms/21/fax,terms/21/office,terms/21/party,terms/21/phone,terms/21/rss_url,terms/21/start,terms/21/state,terms/21/state_rank,terms/21/type,terms/21/url,terms/22/address,terms/22/contact_form,terms/22/district,terms/22/end,terms/22/fax,terms/22/office,terms/22/party,terms/22/phone,terms/22/rss_url,terms/22/start,terms/22/state,terms/22/type,terms/22/url,terms/23/address,terms/23/contact_form,terms/23/district,terms/23/end,terms/23/fax,terms/23/office,terms/23/party,terms/23/phone,terms/23/start,terms/23/state,terms/23/type,terms/23/url,terms/24/address,terms/24/contact_form,terms/24/district,terms/24/end,terms/24/fax,terms/24/office,terms/24/party,terms/24/phone,terms/24/rss_url,terms/24/start,terms/24/state,terms/24/type,terms/24/url,terms/25/address,terms/25/contact_form,terms/25/district,terms/25/end,terms/25/fax,terms/25/office,terms/25/party,terms/25/phone,terms/25/rss_url,terms/25/start,terms/25/state,terms/25/type,terms/25/url
0,Sherrod,,Brown,Sherrod Brown,,,11/9/52,M,Sherrod Brown,Sherrod Brown,,,,13.0,1/3/95,,,Democrat,,,1/5/93,OH,,rep,,,,,13.0,1/3/97,,,Democrat,,,1/4/95,OH,,rep,,,,,13.0,1/3/99,,,Democrat,,,1/7/97,OH,,rep,,,,,13.0,1/3/01,,,Democrat,,,1/6/99,OH,,rep,,,,,13.0,1/3/03,,,Democrat,,,1/3/01,OH,,rep,,,,,13.0,1/3/05,,,Democrat,,,1/7/03,OH,,rep,http://www.house.gov/sherrodbrown,,,,13.0,1/3/07,,,Democrat,,,1/4/05,OH,,rep,http://www.house.gov/sherrodbrown,713 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,1.0,http://www.brown.senate.gov/contact/,,1/3/13,202-228-6321,713 Hart Senate Office Building,Democrat,202-224-2315,,1/4/07,OH,,sen,http://brown.senate.gov/,713 Hart Senate Office Building Washington DC 20510,1.0,http://www.brown.senate.gov/contact,,1/3/19,202-228-6321,713 Hart Senate Office Building,Democrat,202-224-2315,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,1/3/13,OH,senior,sen,https://www.brown.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Maria,,Cantwell,Maria Cantwell,,,10/13/58,F,Maria Cantwell,Maria Cantwell,,,,1.0,1/3/95,,,Democrat,,,1/5/93,WA,,rep,,,1.0,,,1/3/07,,,Democrat,,,1/3/01,WA,,sen,http://cantwell.senate.gov,311 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,1.0,http://www.cantwell.senate.gov/contact/,,1/3/13,202-228-0514,311 Hart Senate Office Building,Democrat,202-224-3441,,1/4/07,WA,,sen,http://cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,1.0,http://www.cantwell.senate.gov/public/index.cfm/email-maria,,1/3/19,202-228-0514,511 Hart Senate Office Building,Democrat,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,1/3/13,WA,junior,sen,https://www.cantwell.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Benjamin,L.,Cardin,Benjamin L. Cardin,,,10/5/43,M,Ben Cardin,Ben Cardin,,,,3.0,1/3/89,,,Democrat,,,1/6/87,MD,,rep,,,,,3.0,1/3/91,,,Democrat,,,1/3/89,MD,,rep,,,,,3.0,1/3/93,,,Democrat,,,1/3/91,MD,,rep,,,,,3.0,1/3/95,,,Democrat,,,1/5/93,MD,,rep,,,,,3.0,1/3/97,,,Democrat,,,1/4/95,MD,,rep,,,,,3.0,1/3/99,,,Democrat,,,1/7/97,MD,,rep,,,,,3.0,1/3/01,,,Democrat,,,1/6/99,MD,,rep,,,,,3.0,1/3/03,,,Democrat,,,1/3/01,MD,,rep,,,,,3.0,1/3/05,,,Democrat,,,1/7/03,MD,,rep,http://www.house.gov/cardin,,,,,3.0,1/3/07,,,Democrat,,,1/4/05,MD,,rep,http://www.house.gov/cardin,509 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,1.0,http://www.cardin.senate.gov/contact/,,1/3/13,202-224-1651,509 Hart Senate Office Building,Democrat,202-224-4524,,1/4/07,MD,,sen,http://cardin.senate.gov/,509 Hart Senate Office Building Washington DC 20510,1.0,http://www.cardin.senate.gov/contact/,,1/3/19,202-224-1651,509 Hart Senate Office Building,Democrat,202-224-4524,http://www.cardin.senate.gov/rss/feeds/?type=all,1/3/13,MD,junior,sen,https://www.cardin.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Thomas,Richard,Carper,Thomas R. Carper,,,1/23/47,M,Tom Carper,Tom Carper,,,,0.0,1/3/85,,,Democrat,,,1/3/83,DE,,rep,,,,,0.0,1/3/87,,,Democrat,,,1/3/85,DE,,rep,,,,,0.0,1/3/89,,,Democrat,,,1/6/87,DE,,rep,,,,,0.0,1/3/91,,,Democrat,,,1/3/89,DE,,rep,,,,,0.0,1/3/93,,,Democrat,,,1/3/91,DE,,rep,,,1.0,,,1/3/07,,,Democrat,,,1/3/01,DE,,sen,http://carper.senate.gov,513 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,1.0,http://www.carper.senate.gov/contact/,,1/3/13,202-228-2190,513 Hart Senate Office Building,Democrat,202-224-2441,,1/4/07,DE,,sen,http://carper.senate.gov,513 Hart Senate Office Building Washington DC 20510,1.0,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,,1/3/19,202-228-2190,513 Hart Senate Office Building,Democrat,202-224-2441,http://www.carper.senate.gov/public/index.cfm/rss/feed,1/3/13,DE,senior,sen,http://www.carper.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Robert,P.,Casey,"Robert P. Casey, Jr.",Bob,Jr.,4/13/60,M,"Bob Casey, Jr.",Bob Casey Jr.,393 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,1.0,http://www.casey.senate.gov/contact/,,1/3/13,202-228-0604,393 Russell Senate Office Building,Democrat,202-224-6324,,1/4/07,PA,,sen,http://casey.senate.gov/,393 Russell Senate Office Building Washington DC 20510,1.0,http://www.casey.senate.gov/contact/,,1/3/19,202-228-0604,393 Russell Senate Office Building,Democrat,202-224-6324,http://www.casey.senate.gov/rss/feeds/?all,1/3/13,PA,senior,sen,https://www.casey.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bob,,Corker,Bob Corker,,,8/24/52,M,Bob Corker,Bob Corker,185 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,1.0,http://www.corker.senate.gov/public/index.cfm?p=ContactMe,,1/3/13,202-228-0566,185 Dirksen Senate Office Building,Republican,202-224-3344,,1/4/07,TN,,sen,http://corker.senate.gov/,425 Dirksen Senate Office Building Washington DC 20510,1.0,http://www.corker.senate.gov/public/index.cfm/emailme,,1/3/19,202-228-0566,425 Dirksen Senate Office Building,Republican,202-224-3344,http://www.corker.senate.gov/public/index.cfm/rss/feed,1/3/13,TN,junior,sen,http://www.corker.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Dianne,,Feinstein,Dianne Feinstein,,,6/22/33,F,Dianne Feinstein,Dianne Feinstein,,1.0,,,1/3/95,,,Democrat,,,11/10/92,CA,,sen,,,1.0,,,1/3/01,,,Democrat,,,1/4/95,CA,,sen,,,1.0,,,1/3/07,,,Democrat,,,1/3/01,CA,,sen,http://feinstein.senate.gov,331 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,1.0,http://www.feinstein.senate.gov/public/index.cfm/e-mail-me,,1/3/13,202-228-3954,331 Hart Senate Office Building,Democrat,202-224-3841,,1/4/07,CA,,sen,http://feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,1.0,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,,1/3/19,202-228-3954,331 Hart Senate Office Building,Democrat,202-224-3841,http://www.feinstein.senate.gov/public/?a=rss.feed,1/3/13,CA,senior,sen,http://www.feinstein.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Orrin,G.,Hatch,Orrin G. Hatch,,,3/22/34,M,Orrin Hatch,Orrin Hatch,,1.0,,,1/3/83,,,Republican,,,1/4/77,UT,,sen,,,1.0,,,1/3/89,,,Republican,,,1/3/83,UT,,sen,,,1.0,,,1/3/95,,,Republican,,,1/3/89,UT,,sen,,,1.0,,,1/3/01,,,Republican,,,1/4/95,UT,,sen,,,1.0,,,1/3/07,,,Republican,,,1/3/01,UT,,sen,http://hatch.senate.gov/,104 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,1.0,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,,1/3/13,202-224-6331,104 Hart Senate Office Building,Republican,202-224-5251,,1/4/07,UT,,sen,http://hatch.senate.gov/,104 Hart Senate Office Building Washington DC 20510,1.0,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,,1/3/19,202-224-6331,104 Hart Senate Office Building,Republican,202-224-5251,http://www.hatch.senate.gov/public/index.cfm/rss/feed,1/3/13,UT,senior,sen,http://www.hatch.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Amy,Jean,Klobuchar,Amy Klobuchar,,,5/25/60,F,Amy Klobuchar,Amy Klobuchar,302 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,1.0,http://www.klobuchar.senate.gov/emailamy.cfm,,1/3/13,202-228-2186,302 Hart Senate Office Building,Democrat,202-224-3244,,1/4/07,MN,,sen,http://klobuchar.senate.gov/,302 Hart Senate Office Building Washington DC 20510,1.0,http://www.klobuchar.senate.gov/public/email-amy,,1/3/19,202-228-2186,302 Hart Senate Office Building,Democrat,202-224-3244,,1/3/13,MN,senior,sen,http://www.klobuchar.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Claire,,McCaskill,Claire McCaskill,,,7/24/53,F,Claire McCaskill,Claire McCaskill,506 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,1.0,http://www.mccaskill.senate.gov/?p=contact,,1/3/13,202-228-6326,506 Hart Senate Office Building,Democrat,202-224-6154,,1/4/07,MO,,sen,http://mccaskill.senate.gov/,730 Hart Senate Office Building Washington DC 20510,1.0,http://www.mccaskill.senate.gov/?p=contact,,1/3/19,202-228-6326,730 Hart Senate Office Building,Democrat,202-224-6154,http://mccaskill.senate.gov/rss/?p=news,1/3/13,MO,senior,sen,https://www.mccaskill.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
