nameFull,careerContributions,imageUrl,quote,stateAbr,quoteAnchor,quoteRef,quoteRefUrl
Robert Aderholt,"$358,030",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Robert_Aderholt.jpg,"""I fall into the second group of people who believe, as do many very credible scientists, that the earth is currently in a natural warming cycle rather than a man-made climate change. Many scientists believe that natural cycles of warming and cooling have existed since the beginning of Earth. If we take the current models of climate prediction and apply those same models to what actually happened in the last thirty years, the models are shown to be very flawed. In addition, what knowledge we do have of a warming period in the Middle Ages cannot be explained by current models which are focused on greenhouse gas reductions.""",AL,fhkltihov,"Daily Mountain Eagle Op-Ed, 12/13/10",https://aderholt.house.gov/media-center/in-the-news/controversy-about-climate-change
Mo Brooks,"$21,500",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Mo_Brooks.jpg,"“I’m also old enough to remember when the same left-wing part of our society was creating a global cooling scare in order to generate funds for their pet projects. So 30-some years ago the big scare was global cooling, and once they drained that [topic], they shifted to global warming. So I’m approaching the issue with a healthy degree of skepticism. If the evidence is there to prove it, then so be it.”",AL,xoprlcvym,"Science Insider, 2/9/11",http://www.sciencemag.org/news/2011/02/healthy-skeptic-climate-change-promises-hearings-science-subcommittee
Gary Palmer,"$51,850",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Gary_Palmer.jpg,"“I have a long history of advocating for common sense environmentalism while fighting environmental alarmism. This hearing demonstrated that our current path is based on alarmism. As Dr. Curry testified at the hearing, climate has always changed and always will change, and the models that proponents of vastly reduced carbon emissions rely upon to justify their preferred policies, have proven inaccurate.”",AL,jiekrzjyd,"Palmer Website, 4/17/15",https://palmer.house.gov/media-center/in-the-news/palmer-critical-obama-s-un-climate-commitment-after-science-committee
Jeff Sessions,"$500,700",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Jeff_Sessions.jpg,"“Although the president has repeatedly claimed that global temperatures are increasing ‘faster than anybody anticipated,’ this assertion is contradicted by plain fact. Climate models have predicted rapid temperature increases, but actual temperatures have been essentially flat for 18 years. We are approaching the 10th anniversary of the last major hurricane to reach landfall in the U.S., yet the Environmental Protection Agency continues to assert that climate change causes more storms.”",AL,exkunkipi,"USA Today, 10/13/15",http://www.usatoday.com/story/opinion/2015/10/13/energy-temperatures-workers-businesses-jeff-sessions-editorials-debates/73887302/
Richard Shelby,"$703,746",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Richard_Shelby.jpg,"“Important scientific research is ongoing, and there are still many questions that must be answered before we take steps to address this issue. For example, is the climate change phenomenon cyclical or is it a function of man-made pollutants, or both? I believe the science must be firmly grounded before we take any actions that could seriously cripple many sectors of our economy.”",AL,rqqdxxgsg,"Weld for Birmingham, 4/29/15",http://weldbham.com/blog/2015/04/29/richard-shelby-speaks-on-climate-change/
Don Young,"$1,402,618",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Don_Young.jpg,"Young said ""we have to adapt” to climate change but “the arrogance of mankind thinking they can do everything good and everything bad is beyond my imagination. This is not a new thing, never been a new thing.” He then said plenty of scientists “say this is all hogwash, that man is not involved … I’m not changing. I know exactly where I’m headed. I’ll probably be right in the long run.”",AK,qfeovmenv,"Alaska Dispatch News, July 2015",https://www.adn.com/article/20160213/adn-poll-alaskans-are-sure-about-global-warming-not-its-cause
Dan Sullivan,"$467,685",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Dan_Sullivan.jpg,"“With 7 billion humans on earth, there is likely some impact on nature. The last few years clearly show, though, that there is no concrete scientific consensus on the extent to which humans contribute to climate change.”",AK,fnixvxyyj,"News Miner, 8/18/14",http://www.newsminer.com/u-s-senate-dan-sullivan/article_6f0a7018-270f-11e4-8656-0017a43b2370.html
Paul Gosar,"$57,050",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Paul_Gosar.jpg,"""More troubling is the fact that this climate change talk has adopted all of the socialist talking points, wrapped false science and ideology into ‘climate justice’ and is being presented to guilt people into leftist policies.”",AZ,cixkgmokn,"Town Hall Open Letter, 9/17/15",http://townhall.com/columnists/congressmanpaulgosar/2015/09/17/why-i-am-boycotting-pope-francis-address-to-congress-n2053596/page/full
David Schweikert,"$63,065",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/David_Schweikert.jpg,"“When you think about the complexity of a worldwide system and the amount of data you’d have to capture, and how you adjust for a sunspot, and how you adjust for a hurricane and I think it’s incredibly arrogant for the Al Gores of the world to stand up and say the world is coming to an end.”",AZ,eugxwzpgv,"Grassroots Interviews, 6/16/10",http://www.ustream.tv/recorded/7709585 
Trent Franks,"$94,400",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Trent_Franks.jpg,"“While I am concerned about the potential effects of global warming, I have yet to see clear and convincing evidence that it exists beyond historical fluctuations.”",AZ,jjptfpcxp,"AZ Central Candidate Survey, 2008",http://www.azcentral.com/news/election/questionnaire2008/congress08.php?action=ViewAns&canname=frankst
Jeff Flake,"$277,162",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Jeff_Flake.jpg,"“Certainly, nobody can deny that we’ve had several years of warmer temperatures. If that signals just a routine change that is manmade or not, I don’t think anybody can say definitely.”",AZ,leodpjjny,"Arizona Public Radio, 10/25/12",http://knau.org/post/senate-candidates-weigh-climate-change-uranium-mining
