District,Party,Representative,MarginOfVictory,TotalVotes,MainOpposition,BelieveClimateChange,BirthDate,DateInOffice,AgeAtTakingOfficeYear,YearsInOffice,AgeAtTakingOfficeDay,NotableQuote,YearNextElection,114Member,115Member,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfPresidentialCandidateVictory
Alabama District 1,Republican,Bradley Byrne,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Alabama District 2,Republican,Martha Roby,9.3%,"246,090",Nathan Mathis,,,,,,,,,1,,,
Alabama District 3,Republican,Mike Rogers,34.2%,"284,291",Jesse Smith,,,,,,,,,1,,,
Alabama District 4,Republican,Robert Aderholt,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Alabama District 5,Republican,Mo Brooks,21.8%,"336,368",Will Boyd,,,,,,,,,1,,,
Alabama District 6,Republican,Gary Palmer,49.5%,"322,193",David Putman,,,,,,,,,1,,,
Alabama District 7,Democratic,Terri Sewell,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Alaska's At-Large District,Republican,Don Young,14.0%,"248,775",Steve Lindbeck,,,,,,,,,1,,,
Arizona District 1,Democratic,Tom O'Halleran,7.3%,"230,406",Paul Babeu,,,,,,,,,1,,,
Arizona District 2,Republican,Martha McSally,13.3%,"278,249",Matt Heinz,,,,,,,,,1,,,
Arizona District 3,Democratic,Raul Grijalva,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Arizona District 4,Republican,Paul Gosar,43.0%,"240,361",Mikel Weisser,,,,,,,,,1,,,
Arizona District 5,Republican,Andy Biggs,26.3%,"250,205",Talia Fuentes,,,,,,,,,1,,,
Arizona District 6,Republican,David Schweikert,23.0%,"257,986",John Williamson,,,,,,,,,1,,,
Arizona District 7,Democratic,Ruben Gallego,49.2%,"118,259",Eve Nunez,,,,,,,,,1,,,
Arizona District 8,Republican,Trent Franks,37.1%,"241,556",Mark Salazar,,,,,,,,,1,,,
Arizona District 9,Democratic,Kyrsten Sinema,22.2%,"216,418",Dave Giles,,,,,,,,,1,,,
Arkansas District 1,Republican,Rick Crawford,53.0%,"239,268",Mark West,,,,,,,,,1,,,
Arkansas District 2,Republican,French Hill,21.6%,"301,436",Dianne Curry,,,,,,,,,1,,,
Arkansas District 3,Republican,Steve Womack,54.7%,"277,061",Steve Isaacson,,,,,,,,,1,,,
Arkansas District 4,Republican,Bruce Westerman,49.8%,"242,890",Kerry Hicks,,,,,,,,,1,,,
California District 1,Republican,Doug LaMalfa,18.9%,"268,769",Jim Reed,,,,,,,,,1,,,
California District 2,Democratic,Jared Huffman,53.1%,"209,804",Dale Mensing,,,,,,,,,1,,,
California District 3,Democratic,John Garamendi,17.3%,"207,012",Eugene Cleek,,,,,,,,,1,,,
California District 4,Republican,Tom McClintock,25.4%,"271,472",Bob Derlet,,,,,,,,,1,,,
California District 5,Democratic,Mike Thompson,54.4%,"212,468",Carlos Santamaria,,,,,,,,,1,,,
California District 6,Democratic,Doris Matsui,50.1%,"177,508",Robert Evans,,,,,,,,,1,,,
California District 7,Democratic,Ami Bera,2.1%,"234,094",Scott Jones,,,,,,,,,1,,,
