Senator,State,BirthDate,DateInOffice,AgeAtTakingOfficeYear,AgeAtTakingOfficeDay,YearsInOffice,Party,BelieveClimateChange,Age,NotableQuote,YearNextElection,114Member,115Member,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfSenateWin,PercentMarginOfPresidentialCandidateVictory
Jeff Sessions,Alabama,24-Dec-1946,3-Jan-1997,50,10,20,Republican,No,70,,2020,1,1,,,
Richard Shelby,Alabama,6-May-1934,3-Jan-1987,52,242,30,Republican,No,82,,2022,1,1,,,
Dan Sullivan,Alaska,13-Nov-1964,3-Jan-2015,50,51,2,Republican,No,52,,2020,1,1,,,
Lisa Murkowski,Alaska,22-May-1957,20-Dec-2002,45,212,14,Republican,No,59,,2022,1,1,,,
Jeff Flake,Arizona,31-Dec-1962,3-Jan-2013,50,3,4,Republican,No,54,,2018,1,1,,,
John McCain,Arizona,29-Aug-1936,3-Jan-1987,50,127,30,Republican,No,80,,2022,1,1,,,
John Boozman,Arkansas,10-Dec-1950,3-Jan-2011,60,24,6,Republican,No,66,,2022,1,1,,,
Tom Cotton,Arkansas,13-May-1977,3-Jan-2015,37,235,2,Republican,No,39,,2020,1,1,,,
Barbara Boxer,California,11-Nov-1940,3-Jan-1993,52,53,24,Democratic,Yes,76,,na,1,0,,,
Bill Nelson,Florida,29-Sep-1942,3-Jan-2001,58,96,16,Democratic,Yes,74,,2018,1,1,,,
Dianne Feinstein,California,22-Jun-1933,10-Nov-1992,59,141,24,Democratic,Yes,83,,2018,1,1,,,
Kamala Harris,California,20-Oct-1964,3-Jan-2017,52,75,0,Democratic,Yes,52,,2022,0,1,,,
Cory Gardner,Colorado,22-Aug-1974,3-Jan-2015,40,134,2,Republican,No,42,,2020,1,1,,,
Michael Bennet,Colorado,28-Nov-1964,21-Jan-2009,44,54,8,Democratic,Yes,52,,2022,1,1,,,
Chris Murphy,Connecticut,3-Aug-1973,3-Jan-2013,39,153,4,Democratic,Yes,43,,2018,1,1,,,
Richard Blumenthal,Connecticut,13-Feb-1946,3-Jan-2011,64,324,6,Democratic,Yes,70,,2022,1,1,,,
Chris Coons,Delaware,9-Sep-1963,15-Nov-2010,47,67,6,Democratic,Yes,53,,2020,1,1,,,
Tom Carper,Delaware,23-Jan-1947,3-Jan-2001,53,345,16,Democratic,Yes,69,,2018,1,1,,,
David Perdue,Georgia,10-Dec-1949,3-Jan-2015,65,24,2,Republican,No,67,,2020,1,1,,,
Johnny Isakson,Georgia,28-Dec-1944,3-Jan-2005,60,6,12,Republican,No,72,,2022,1,1,,,
Brian Schatz,Hawaii,20-Oct-1972,26-Dec-2012,40,67,4,Democratic,Yes,44,,2022,1,1,,,
Mazie Hirono,Hawaii,3-Nov-1947,3-Jan-2013,65,61,4,Democratic,Yes,69,,2018,1,1,,,
Jim Risch,Idaho,3-May-1943,3-Jan-2009,65,245,8,Republican,No,73,,2020,1,1,,,
