State,Abbreviation,Population,senDeniers,senTotal,repDeniers114,repTotal114,proportion,prop
Alabama,AL,4858979,2,2,8,9,89%,0.89
Alaska,AK,738432,2,2,3,3,100%,1.00
Arizona,AZ,6828065,2,2,8,11,73%,0.73
Arkansas,AR,2978204,2,2,6,6,100%,1.00
California,CA,39144818,0,2,14,55,25%,0.25
Colorado,CO,5456574,1,2,5,9,56%,0.56
Connecticut,CT,3590886,0,2,0,7,0%,0.00
Delaware,DE,945934,0,2,0,3,0%,0.00
Florida,FL,20271272,1,2,15,29,52%,0.52
Georgia,GA,10214860,2,2,12,16,75%,0.75
Hawaii,HI,1431603,0,2,0,4,0%,0.00
Idaho,ID,1654930,2,2,4,4,100%,1.00
Illinois,IL,12859995,0,2,7,20,35%,0.35
Indiana,IN,6619680,1,2,8,11,73%,0.73
Iowa,IA,3123899,2,2,5,6,83%,0.83
Kansas,KS,2911641,2,2,6,6,100%,1.00
Kentucky,KY,4425092,2,2,7,8,88%,0.88
Louisiana,LA,4670724,2,2,7,8,88%,0.88
Maine,ME,1329328,0,2,1,4,25%,0.25
Maryland,MD,6006401,0,2,1,10,10%,0.10
Massachusetts,MA,6794422,0,2,0,11,0%,0.00
Michigan,MI,9922576,0,2,9,16,56%,0.56
Minnesota,MN,5489594,0,2,4,10,40%,0.40
Mississippi,MS,2992333,2,2,5,6,83%,0.83
Missouri,MO,6083672,1,2,7,10,70%,0.70
Montana,MT,1032949,1,2,2,3,67%,0.67
Nebraska,NE,1896190,2,2,4,5,80%,0.80
Nevada,NV,2890845,1,2,4,6,67%,0.67
New Hampshire,NH,1330608,0,2,2,4,50%,0.50
New Jersey,NJ,8958013,0,2,4,14,29%,0.29
New Mexico,NM,2085109,0,2,1,5,20%,0.20
New York,NY,19795791,0,2,6,29,21%,0.21
North Carolina,NC,10042802,2,2,12,15,80%,0.80
North Dakota,ND,756927,1,2,2,3,67%,0.67
Ohio,OH,11613423,1,2,13,18,72%,0.72
Oklahoma,OK,3911338,2,2,7,7,100%,1.00
Oregon,OR,4028977,0,2,1,7,14%,0.14
Pennsylvania,PA,12802503,1,2,11,20,55%,0.55
Rhode Island,RI,1056298,0,2,0,4,0%,0.00
South Carolina,SC,4896146,1,2,7,9,78%,0.78
South Dakota,SD,858469,2,2,1,3,33%,0.33
Tennessee,TN,6600299,1,2,8,11,73%,0.73
Texas,TX,27469114,2,2,26,38,68%,0.68
Utah,UT,2995919,2,2,6,6,100%,1.00
Vermont,VT,626042,0,2,0,3,0%,0.00
Virginia,VA,8382993,0,2,8,13,62%,0.62
Washington,WA,7170351,0,2,3,12,25%,0.25
West Virginia,WV,1844128,1,2,4,5,80%,0.80
Wisconsin,WI,5771337,1,2,6,10,60%,0.60
Wyoming,WY,586107,2,2,3,3,100%,1.00
