Senator,State,BirthDate,DateInOffice,AgeAtTakingOfficeYear,AgeAtTakingOfficeDay,YearsInOffice,CurrentAgeYear,Party,BelieveClimateChange,NotableQuote,YearNextElection,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfSenateWin,PercentMarginOfPresidentialCandidateVictory,115Member,114Member
Jeff Sessions,Alabama,24-Dec-46,3-Jan-97,50,10,20,"69 years, 332 days",Republican,No,,2020,,,,1,1
Richard Shelby,Alabama,6-May-34,3-Jan-87,52,242,30,"82 years, 198 days",Republican,No,,2022,,,,1,1
Dan Sullivan,Alaska,13-Nov-64,3-Jan-15,50,51,2,"52 years, 7 days",Republican,No,,2020,,,,1,1
Lisa Murkowski,Alaska,22-May-57,20-Dec-02,45,212,14,"59 years, 182 days",Republican,No,,2022,,,,1,1
Jeff Flake,Arizona,31-Dec-62,3-Jan-13,50,3,4,"53 years, 325 days",Republican,No,,2018,,,,1,1
John McCain,Arizona,29-Aug-36,3-Jan-87,50,127,30,"80 years, 83 days",Republican,No,,2022,,,,1,1
John Boozman,Arkansas,10-Dec-50,3-Jan-11,60,24,6,"65 years, 346 days",Republican,No,,2022,,,,1,1
Tom Cotton,Arkansas,13-May-77,3-Jan-15,37,235,2,"39 years, 191 days",Republican,No,,2020,,,,1,1
Barbara Boxer,California,11-Nov-40,3-Jan-93,52,53,24,"76 years, 9 days",Democratic,Yes,,na,,,,0,1
Bill Nelson,Florida,29-Sep-42,3-Jan-01,58,96,16,"74 years, 52 days",Democratic,Yes,,2018,,,,1,1
Dianne Feinstein,California,22-Jun-33,10-Nov-92,59,141,24,"83 years, 151 days",Democratic,Yes,,2018,,,,1,1
Kamala Harris,California,20-Oct-64,3-Jan-17,52,75,0,"52 years, 75 days",Democratic,Yes,,2022,,,,1,0
Cory Gardner,Colorado,22-Aug-74,3-Jan-15,40,134,2,"42 years, 90 days",Republican,No,,2020,,,,1,1
Michael Bennet,Colorado,28-Nov-64,21-Jan-09,44,54,8,"51 years, 358 days",Democratic,Yes,,2022,,,,1,1
Chris Murphy,Connecticut,3-Aug-73,3-Jan-13,39,153,4,"43 years, 109 days",Democratic,Yes,,2018,,,,1,1
Richard Blumenthal,Connecticut,13-Feb-46,3-Jan-11,64,324,6,"70 years, 281 days",Democratic,Yes,,2022,,,,1,1
Chris Coons,Delaware,9-Sep-63,15-Nov-10,47,67,6,"53 years, 72 days",Democratic,Yes,,2020,,,,1,1
Tom Carper,Delaware,23-Jan-47,3-Jan-01,53,345,16,"69 years, 302 days",Democratic,Yes,,2018,,,,1,1
David Perdue,Georgia,10-Dec-49,3-Jan-15,65,24,2,"66 years, 346 days",Republican,No,,2020,,,,1,1
Johnny Isakson,Georgia,28-Dec-44,3-Jan-05,60,6,12,"71 years, 328 days",Republican,No,,2022,,,,1,1
Brian Schatz,Hawaii,20-Oct-72,26-Dec-12,40,67,4,"44 years, 31 days",Democratic,Yes,,2022,,,,1,1
Mazie Hirono,Hawaii,3-Nov-47,3-Jan-13,65,61,4,"69 years, 17 days",Democratic,Yes,,2018,,,,1,1
Jim Risch,Idaho,3-May-43,3-Jan-09,65,245,8,"73 years, 201 days",Republican,No,,2020,,,,1,1
Mike Crapo,Idaho,20-May-51,3-Jan-99,47,228,18,"65 years, 184 days",Republican,No,,2022,,,,1,1
Dick Durbin,Illinois,21-Nov-44,3-Jan-97,52,43,20,"71 years, 365 days",Democratic,Yes,,2020,,,,1,1
Mark Kirk,Illinois,15-Sep-59,29-Nov-10,51,75,6,"57 years, 66 days",Republican,Yes,,na,,,,0,1
Tammy Duckworth,Illinois,12-Mar-68,3-Jan-17,48,297,0,"48 years, 297 days",Democratic,Yes,,2022,,,,1,0
Marco Rubio,Florida,28-May-71,3-Jan-11,39,220,6,"45 years, 176 days",Republican,No,,2022,,,,1,1
Todd Young,Indiana,24-Aug-72,3-Jan-17,44,132,0,"44 years, 132 days",Republican,No,,2022,,,,1,0
Joe Donnelly,Indiana,29-Sep-55,3-Jan-13,57,96,4,"61 years, 52 days",Democratic,Yes,,2018,,,,1,1
Chuck Grassley,Iowa,17-Sep-33,3-Jan-81,47,108,36,"83 years, 64 days",Republican,No,,2022,,,,1,1
Joni Ernst,Iowa,1-Jul-70,3-Jan-15,44,186,2,"46 years, 142 days",Republican,No,,2020,,,,1,1
Pat Roberts,Kansas,20-Apr-36,3-Jan-97,60,258,20,"80 years, 214 days",Republican,No,,2020,,,,1,1
Mitch McConnell,Kentucky,20-Feb-42,3-Jan-85,42,317,32,"74 years, 274 days",Republican,No,,2020,,,,1,1
Rand Paul,Kentucky,7-Jan-63,3-Jan-11,47,361,6,"53 years, 318 days",Republican,No,,2022,,,,1,1
Bill Cassidy,Louisiana,28-Sep-57,3-Jan-15,57,97,2,"59 years, 53 days",Republican,No,,2020,,,,1,1
TBD,Louisiana,TBD,,,,0,,TBD,TBD,,2022,,,,1,0
Angus King,Maine,31-Mar-44,3-Jan-13,"68 years, 278 days",,4,"72 years, 234 days",Independent,Yes,,2018,,,,1,1
Susan Collins,Maine,7-Dec-52,3-Jan-97,"44 years, 27 days",,20,"63 years, 349 days",Republican,Yes,,2020,,,,1,1
Jeanne Shaheen,New Hampshire,28-Jan-47,3-Jan-09,"61 years, 341 days",,8,"69 years, 297 days",Democratic,Yes,,2020,,,,1,1
Barbara Mikulski,Maryland,20-Jul-36,3-Jan-87,"50 years, 167 days",,30,"80 years, 123 days",Democratic,Yes,,na,,,,0,1
Ben Cardin,Maryland,5-Oct-43,3-Jan-07,"63 years, 90 days",,10,"73 years, 46 days",Democratic,Yes,,2018,,,,1,1
Chris Van Hollen,Maryland,10-Jan-59,3-Jan-17,"57 years, 358 days",,0,"57 years, 358 days",Democratic,Yes,,2022,,,,1,0
Dan Coats,Indiana,16-May-43,3-Jan-11,"67 years, 232 days",,14,"73 years, 188 days",Republican,No,,na,,,,0,1
Ed Markey,Massachusetts,11-Jul-46,16-Jul-13,"67 years, 5 days",,3,"70 years, 132 days",Democratic,Yes,,2020,,,,1,1
Elizabeth Warren,Massachusetts,22-Jun-49,3-Jan-13,"63 years, 195 days",,4,"67 years, 151 days",Democratic,Yes,,2018,,,,1,1
Debbie Stabenow,Michigan,29-Apr-50,3-Jan-01,"50 years, 249 days",,16,"66 years, 205 days",Democratic,Yes,,2018,,,,1,1
Gary Peters,Michigan,1-Dec-58,3-Jan-15,"56 years, 33 days",,2,"57 years, 355 days",Democratic,Yes,,2020,,,,1,1
Al Franken,Minnesota,21-May-51,7-Jul-09,"58 years, 47 days",,8,"65 years, 183 days",Democratic,Yes,,2020,,,,1,1
Jerry Moran,Kansas,29-May-54,3-Jan-11,"56 years, 219 days",,6,"62 years, 175 days",Republican,No,,2022,,,,1,1
Amy Klobuchar,Minnesota,25-May-60,3-Jan-07,"46 years, 223 days",,10,"56 years, 179 days",Democratic,Yes,,2018,,,,1,1
Roger Wicker,Mississippi,5-Jul-51,31-Dec-07,"56 years, 179 days",,9,"65 years, 138 days",Republican,No,,2018,,,,1,1
Thad Cochran,Mississippi,7-Dec-37,27-Dec-78,"41 years, 20 days",,38,"78 years, 349 days",Republican,No,,2020,,,,1,1
Claire McCaskill,Missouri,24-Jul-53,3-Jan-07,"53 years, 163 days",,10,"63 years, 119 days",Democratic,Yes,,2018,,,,1,1
David Vitter,Louisiana,3-May-61,3-Jan-05,"43 years, 245 days",,12,"55 years, 201 days",Republican,No,,na,,,,0,1
Roy Blunt,Missouri,10-Jan-50,3-Jan-11,"60 years, 358 days",,6,"66 years, 315 days",Republican,No,,2022,,,,1,1
Jon Tester,Montana,21-Aug-56,3-Jan-07,"50 years, 135 days",,10,"60 years, 91 days",Democratic,Yes,,2018,,,,1,1
Steve Daines,Montana,20-Aug-62,3-Jan-15,"52 years, 136 days",,2,"54 years, 92 days",Republican,No,,2020,,,,1,1
Ben Sasse,Nebraska,22-Feb-72,3-Jan-15,"42 years, 315 days",,2,"44 years, 272 days",Republican,No,,2020,,,,1,1
Catherine Cortez Masto,Nevada,29-Mar-64,3-Jan-17,"52 years, 280 days",,0,"52 years, 280 days",Democratic,Yes,,2022,,,,1,0
Lamar Alexander,Tennessee,3-Jul-40,3-Jan-03,"62 years, 184 days",,14,"76 years, 140 days",Republican,Yes,,2020,,,,1,1
